frame,step,n_atoms,hcp_matrix_atoms,dxa_total_length_A,n_segments,lower_n_segments,lower_length_A,lower_mean_x_A,lower_mean_z_A,lower_split_width_A,lower_bx_sum,upper_n_segments,upper_length_A,upper_mean_x_A,upper_mean_z_A,upper_split_width_A,upper_bx_sum
31,46500,300124,309,360.21341950607894,4,2,179.75653168660062,142.66395857790238,49.98518920105646,9.260196347470298,2.8602161407470703,2,180.45688781947834,108.57530415002817,73.29536644173407,9.098238256496316,-2.8602163791656494
32,48000,300124,318,360.2242053563157,4,2,179.9490551791422,142.52010850566387,49.651160058178505,8.90419464030225,2.8601245880126953,2,180.27515017717343,108.55730307632075,72.61056348288514,9.477051552131854,-2.8601245880126953
33,49500,300124,299,360.50087063115416,4,2,179.99085842052068,144.1296077360508,49.41874732607893,9.276224581602548,2.8603304624557495,2,180.5100122106335,107.58390225021053,72.4433490992985,9.47963390001975,-2.860330581665039
34,51000,300124,301,360.3953183125007,4,2,179.9502323785357,143.93879203900772,49.42654331843501,8.98978433397869,2.8602683544158936,2,180.445085933965,109.05250012227322,72.22235552591985,9.53897601153021,-2.860268235206604
35,52500,300124,332,360.2907623837208,4,2,179.7420833789281,146.87229230311152,49.511304290466526,9.395124561849855,2.860353112220764,2,180.54867900479272,109.31083385486238,72.43502958759413,9.694592973819212,-2.860353469848633
36,54000,300124,344,359.7475050171458,4,2,180.24445965246989,148.11584968393367,49.36577808724854,9.912122440105804,2.8602973222732544,2,179.5030453646759,108.08735245928031,72.27798234959278,9.94434183021599,-2.860297203063965
37,55500,300124,293,360.8171378351375,4,2,179.94699874868272,148.61435244121296,49.517852215971224,8.263201547006048,2.860258936882019,2,180.87013908645474,107.57646120686141,72.41120166703891,9.131562581192242,-2.860258936882019
38,57000,300124,324,360.35719190037116,4,2,180.13055413285736,150.0652029978553,49.988890653591426,9.343940766563179,2.860465168952942,2,180.2266377675138,106.06029335801237,73.03419018963623,9.572760487769727,-2.8604652881622314
39,58500,300124,335,361.4152129149684,4,2,179.7707691197362,150.39882706231353,50.20879288114833,9.007919074498034,2.860159397125244,2,181.64444379523215,104.75035525760019,73.24955295154851,10.51540044640278,-2.8601596355438232
40,60000,300124,336,361.9484584240246,4,2,181.04238923951357,151.74949690139493,50.187104742506364,9.532929472046504,2.860322117805481,2,180.906069184511,102.60433192109558,73.51940503173418,10.5635057491683,-2.8603222370147705
