frame,step,n_atoms,hcp_matrix_atoms,dxa_total_length_A,n_segments,lower_n_segments,lower_length_A,lower_mean_x_A,lower_mean_z_A,lower_split_width_A,lower_bx_sum,upper_n_segments,upper_length_A,upper_mean_x_A,upper_mean_z_A,upper_split_width_A,upper_bx_sum
0,0,300124,273,360.6104222990872,4,2,180.28156705157303,152.49400854492197,49.37986368499487,8.753007246976239,2.8601512908935547,2,180.32885524751413,121.44807566220031,72.49636689773276,7.655208166981893,-2.8601512908935547
1,1500,300124,298,361.36028869755165,4,2,180.71503216861504,148.58433534014068,49.71860242715434,10.17489612,2.8602423667907715,2,180.6452565289366,114.81009163450705,72.9406230047764,8.3661877091551,-2.860242247581482
2,3000,300124,305,361.6207056974231,4,2,180.29747904951589,148.76587497706626,50.2956010574226,9.218969319287936,2.86004376411438,2,181.32322664790723,111.66181921881795,73.52179067234499,8.944819384349373,-2.86004376411438
3,4500,300124,304,361.45841361095256,4,2,180.62765598933373,148.35326035415636,50.16955416324577,8.79858403578666,2.860197067260742,2,180.83075762161883,112.83624117420793,73.47711460491598,9.746325040468122,-2.860197067260742
4,6000,300124,288,365.85431150340423,4,2,185.29761644267617,149.57833306053993,50.45706036678922,7.6331614877354355,2.860247492790222,2,180.5566950607281,112.58107054487897,73.65167540383271,8.910764426825324,-2.8602477312088013
5,7500,300124,320,361.81905738511733,4,2,180.63287965866226,153.45242255075166,50.058445351478724,8.389027366837155,2.8601601123809814,2,181.18617772645504,111.70793378062251,73.25101778579385,10.207665753942592,-2.860159993171692
6,9000,300124,297,358.92655114794155,4,2,179.1958259123823,154.5991535524949,50.20313283969245,8.924015112534875,2.860394835472107,2,179.73072523555925,111.74972348311569,73.43698909713729,8.864836407063265,-2.860394835472107
7,10500,300124,283,360.59106502604686,4,2,179.79967707397773,150.96660325416644,50.05964230168595,8.26340139803699,2.8602964878082275,2,180.7913879520691,110.36630750945233,73.0277310842236,9.08958698920489,-2.8602964878082275
8,12000,300124,319,360.30574460465334,4,2,179.97397626166628,150.74046204968988,49.39449554318473,8.681481955691197,2.8605880737304688,2,180.3317683429871,107.70860718890094,72.42573567551767,10.43837156016454,-2.860588312149048
9,13500,300124,296,360.9644947033624,4,2,181.26930869427707,152.05058491223477,49.47017627402154,9.116380703643074,2.8602259159088135,2,179.69518600908532,107.40079565688227,72.39943675807407,9.186305264628743,-2.8602256774902344
10,15000,300124,323,360.13793050164406,4,2,180.08373291956696,154.10014029014627,49.28059156760265,9.568520132768441,2.8601819276809692,2,180.05419758207714,104.80372010974376,72.095804956716,9.435309724796312,-2.860181450843811
11,16500,300124,262,361.11937556809045,4,2,180.6842304234314,153.65175625928063,49.62259903958365,8.980084660923154,2.860602021217346,2,180.4351451446591,105.83779695108682,72.47974095061858,7.802511889093694,-2.8606016635894775
12,18000,300124,334,360.0678839273383,4,2,179.88919599282696,153.86989002861426,49.48648798861235,9.248731747521873,2.86021625995636,2,180.17868793451132,105.43986042937843,72.23189036715053,9.840923081492107,-2.8602163791656494
13,19500,300124,321,360.5343624803873,4,2,180.75251017579427,154.040460741006,49.60987694691156,9.605795721063117,2.860270857810974,2,179.78185230459303,102.90818510235567,72.64739190073004,9.597148819496141,-2.8602709770202637
14,21000,300124,334,361.45693889356295,4,2,181.2216103933895,151.76625263012576,50.22256400297901,9.083856006002378,2.860216736793518,2,180.2353285001734,101.23147368741124,73.33321263333306,10.470972834397074,-2.8602166175842285
15,22500,300124,338,361.3305671054142,4,2,180.4960914023568,153.41441717362386,50.30720105496539,9.837636207159505,2.860229015350342,2,180.83447570305736,97.9824891456709,73.29883191526183,9.686306874615909,-2.860229253768921
16,24000,300124,321,360.6826148606385,4,2,180.50744819876013,151.81970960540968,50.335525549173774,9.035199073767359,2.8603858947753906,2,180.17516666187842,98.85767667469828,73.57551494227894,10.044779474069031,-2.860385775566101
17,25500,300124,321,362.0849368990887,4,2,180.22657520604145,148.14325457499177,50.194085366070595,8.788603266748026,2.8600962162017822,2,181.85836169304727,97.99320402120767,73.22560968658101,9.96025253783688,-2.860095977783203
18,27000,300124,311,360.1897200554105,4,2,180.40626929682537,148.44637676107837,50.241373553275054,8.933316836532242,2.8602391481399536,2,179.78345075858516,97.98566807749245,73.35894744060019,9.773493904546712,-2.8602391481399536
19,28500,300124,307,359.7140741970436,4,2,179.92685216549089,146.32014154404246,50.023666324147484,8.438655527512793,2.860230803489685,2,179.78722203155274,100.5629106958113,73.09710749701728,9.693710874479962,-2.8602309226989746
20,30000,300124,268,360.76948053253625,4,2,180.73246355738556,149.34117767274688,49.585516359382,8.643270057221088,2.8603116273880005,2,180.03701697515066,103.85102697279237,72.5159074115931,8.352288338165849,-2.8603116273880005
21,31500,300124,318,360.37774742076317,4,2,180.22526383546307,148.74213231123971,49.45400263265422,9.091253791389363,2.860452175140381,2,180.15248358530005,108.85143613126556,72.42548956451006,9.427869058223294,-2.8604522943496704
22,33000,300124,283,360.2361607792668,4,2,179.85169476953928,146.11137624218046,49.31744637633392,8.157985778196775,2.860245704650879,2,180.38446600972753,112.99016883659822,72.18322909804743,8.566982071171921,-2.8602454662323
23,34500,300124,299,361.17972953830974,4,2,180.42881509741352,148.4126513217329,49.54767912542968,8.626512952903596,2.860227108001709,2,180.75091444089625,114.63725718761994,72.44152624479156,8.919462064861065,-2.8602272272109985
24,36000,300124,307,360.0607902589344,4,2,179.70760005438342,147.82183879963384,49.387451484108354,8.957904113906011,2.8604265451431274,2,180.353190204551,114.84042180468855,72.3327923362877,9.190046393828922,-2.8604272603988647
25,37500,300124,318,360.1988044166906,4,2,180.07872814762356,145.80656903787744,49.57122995659443,8.82479714638879,2.8603758811950684,2,180.1200762690671,115.43848117682764,72.70978918271118,10.181264343561907,-2.860376238822937
26,39000,300124,252,360.95863300532295,4,2,180.65620488491072,146.14800553662295,50.014859256993034,7.823729181971629,2.8602542877197266,2,180.30242812041217,112.02898288042877,73.25477525352716,8.523720973416374,-2.8602542877197266
27,40500,300124,364,362.0080921362003,4,2,180.43937605912282,144.98633119417906,50.06295645786878,10.040953511385823,2.860102415084839,2,181.5687160770775,111.393371438471,73.30559458079875,10.523381369606412,-2.8601022958755493
28,42000,300124,319,359.9448089262166,4,2,179.8141564357357,145.98341670804203,50.221025915378576,9.312083240285517,2.860155701637268,2,180.13065249048088,111.03013837462495,73.57249120064259,9.445402727938003,-2.860155940055847
29,43500,300124,294,361.07775476075386,4,2,180.90309055277703,143.88393660115474,50.07731406106564,9.143610434352013,2.8601454496383667,2,180.17466420797683,109.92800179316647,73.38408600359637,8.39011818099975,-2.860145092010498
30,45000,300124,310,360.91485779720074,4,2,180.18570427086544,145.74047327585978,50.21911526494167,9.09513486480364,2.8602116107940674,2,180.72915352633527,108.5070184848064,73.29996031204237,8.932490461017437,-2.8602116107940674
