case,case_id,eps_z,window,step,interface_z_A,r_bin_min_A,r_bin_max_A,r_bin_center_A,matrix_atoms_in_bin,fcc_atoms,hcp_atoms,bcc_atoms,ico_atoms,other_atoms,hcp_fraction,other_fraction,non_fcc_fraction,dmin2_status
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,0.0,2.0,1.0,840,0,0,0,0,840,0.0,1.0,1.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,2.0,4.0,3.0,1260,945,0,0,0,315,0.0,0.25,0.25,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,4.0,6.0,5.0,1365,1365,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,6.0,8.0,7.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,8.0,10.0,9.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,10.0,12.0,11.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,12.0,14.0,13.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,14.0,16.0,15.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,16.0,18.0,17.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,18.0,20.0,19.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,20.0,22.0,21.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,22.0,24.0,23.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,24.0,26.0,25.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,26.0,28.0,27.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,28.0,30.0,29.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,30.0,32.0,31.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,32.0,34.0,33.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,50.0,34.0,36.0,35.0,1380,1380,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
