case,case_id,eps_z,window,step,interface_z_A,r_bin_min_A,r_bin_max_A,r_bin_center_A,matrix_atoms_in_bin,fcc_atoms,hcp_atoms,bcc_atoms,ico_atoms,other_atoms,hcp_fraction,other_fraction,non_fcc_fraction,dmin2_status
eps0000,F0_planar_100A_comm_eps0000_cpu_zhi200,0.0,initial,0,50.0,75.0,80.0,77.5,2760,2760,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps0000,F0_planar_100A_comm_eps0000_cpu_zhi200,0.0,initial,0,50.0,80.0,85.0,82.5,2760,2760,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps0000,F0_planar_100A_comm_eps0000_cpu_zhi200,0.0,initial,0,50.0,85.0,90.0,87.5,4140,4140,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps0000,F0_planar_100A_comm_eps0000_cpu_zhi200,0.0,initial,0,50.0,90.0,95.0,92.5,2760,2760,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps0000,F0_planar_100A_comm_eps0000_cpu_zhi200,0.0,initial,0,50.0,95.0,100.0,97.5,4140,4140,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps0000,F0_planar_100A_comm_eps0000_cpu_zhi200,0.0,initial,0,50.0,100.0,110.0,105.0,6900,6900,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps0000,F0_planar_100A_comm_eps0000_cpu_zhi200,0.0,initial,0,50.0,110.0,120.0,115.0,6900,5520,0,0,0,1380,0.0,0.2,0.2,unavailable_not_stored_in_dump_not_computed
eps0000,F0_planar_100A_comm_eps0000_cpu_zhi200,0.0,initial,0,50.0,120.0,121.06800000000001,120.534,0,0,0,0,0,0,0.0,0.0,0.0,unavailable_not_stored_in_dump_not_computed
eps0000,F0_planar_100A_comm_eps0000_cpu_zhi200,0.0,final,50000,50.0,0.0,2.0,1.0,1160,73,1,0,0,1086,0.0008620689655172414,0.9362068965517242,0.9370689655172414,unavailable_not_stored_in_dump_not_computed
eps0000,F0_planar_100A_comm_eps0000_cpu_zhi200,0.0,final,50000,50.0,2.0,4.0,3.0,1314,805,0,0,0,509,0.0,0.3873668188736682,0.3873668188736682,unavailable_not_stored_in_dump_not_computed
