frame,step,x_lo,x_up,len_lo,len_up,n_small_segments,sxz_quiet_MPa,ux_lo,ux_up
0,0,55.85143942225952,56.115630059283774,99.21567484336256,99.21254475725375,0,-48.482345445763585,55.85143942225952,56.115630059283774
1,1000,55.851414691222175,55.97365249874871,100.45284457323314,100.32403572978345,0,-115.68546947861873,55.851414691222175,55.97365249874871
2,2000,52.69877534860022,57.60935923057953,100.7068991704372,100.35775412702037,0,4.052548927888355,52.69877534860022,57.60935923057953
3,3000,51.73698724751358,56.68706141666055,99.65860527685243,100.05368355107825,0,-169.4103974032361,51.73698724751358,56.68706141666055
4,4000,51.81795875282632,54.86889987541954,100.60916530986768,100.53472405852042,0,-239.5221827315419,51.81795875282632,54.86889987541954
5,5000,52.743916114675805,54.7918473118617,100.72964219824988,99.92304922474798,0,-13.049713681805354,52.743916114675805,54.7918473118617
6,6000,51.43565679650431,55.037304874587804,99.93941391188658,100.33530826800498,0,-95.6270652730246,51.43565679650431,55.037304874587804
7,7000,52.275033572407025,54.24590618062876,100.19870846082766,100.29545379447255,0,-138.50151274792233,52.275033572407025,54.24590618062876
8,8000,53.26936662362074,51.83336093804537,100.41573516112742,101.50628810214587,0,-136.42763360408838,53.26936662362074,51.83336093804537
9,9000,51.40137508560756,49.87789654625192,100.1835390814039,100.16858188756433,0,-78.55686553336992,51.40137508560756,49.87789654625192
10,10000,51.876213390132776,46.27195211775116,100.3567212945132,100.23559002207793,0,-101.74950365421675,51.876213390132776,46.27195211775116
11,11000,53.10369353242733,40.34432753157736,99.80913892899412,99.85141312631828,0,-55.78777754781272,53.10369353242733,40.34432753157736
12,12000,52.23529712951525,35.44147134852598,100.22910198375659,100.22340879227285,0,-117.23350786120245,52.23529712951525,35.44147134852598
13,13000,50.40691199733375,30.014966871141635,100.26501091906077,99.79175728151316,0,-39.30208637656636,50.40691199733375,30.014966871141635
14,14000,51.219465637005904,19.611004188311014,101.25799116707955,101.17559024024854,0,-32.37922422340902,51.219465637005904,19.611004188311014
15,15000,51.554703253014864,,99.64077399695432,0.0,0,-136.7775164311931,51.554703253014864,
16,16000,53.44288530818356,,99.78947649999512,0.0,0,-64.6065401818102,53.44288530818356,
17,17000,54.40967138647483,,100.01237316790738,0.0,0,38.87786944936148,54.40967138647483,
18,18000,52.57833413825089,,100.3215651497016,0.0,0,-44.977048329325115,52.57833413825089,
19,19000,48.430273552381685,,99.85578893072358,0.0,0,-17.119957410193976,48.430273552381685,
