frame,step,x_lo,x_up,len_lo,len_up,n_small_segments,sxz_quiet_MPa,ux_lo,ux_up
0,0,56.412580780039995,56.102685320274865,92.62442658938225,101.16370586405972,1,-45.31525175241864,56.412580780039995,56.102685320274865
1,1000,56.462911588393546,55.976010823234354,99.8931994265117,101.49156340735529,0,-68.70151635423963,56.462911588393546,55.976010823234354
2,2000,57.89061646877626,56.45587437746884,103.99962301105515,102.93968191349958,0,48.10800253057209,57.89061646877626,56.45587437746884
3,3000,57.77107431522635,54.95474599465503,101.2159679338389,103.7833643685403,0,-118.85614119029401,57.77107431522635,54.95474599465503
4,4000,58.55628490776332,56.46467916860841,101.46279350706664,104.48727272652201,0,-128.86642528581598,58.55628490776332,56.46467916860841
5,5000,62.003130408979196,55.98433648589235,100.57888742488555,102.65846319076667,0,57.29662740764108,62.003130408979196,55.98433648589235
6,6000,63.79685097123007,57.905491429546004,112.98405054976499,108.25544134693868,0,68.59564054050404,63.79685097123007,57.905491429546004
7,7000,62.26168950299141,57.33791884749365,104.29112305482187,105.68157585389673,0,-103.5025320836315,62.26168950299141,57.33791884749365
8,8000,61.486312133422935,56.18669257482982,104.51918861529367,103.72492757864285,0,-107.33849624884847,61.486312133422935,56.18669257482982
9,9000,60.718700089890696,55.69340161929114,101.87648388568797,115.21044822878302,0,27.90357459977276,60.718700089890696,55.69340161929114
10,10000,61.428216416523085,56.98914052011401,102.46791329660486,104.37659134652637,1,-37.604042114083384,61.428216416523085,56.98914052011401
11,11000,62.76806659834122,59.25469075218051,102.02059950176468,103.42436223161451,0,-60.184792335426756,62.76806659834122,59.25469075218051
12,12000,61.640819347708295,60.33060781697912,100.2956068153735,89.34794437222175,1,15.40982995912104,61.640819347708295,60.33060781697912
13,13000,62.707284171326876,60.60630070846786,113.04103532358485,89.91061395024221,3,25.141393188674286,62.707284171326876,60.60630070846786
14,14000,62.038167072948866,60.46293278395392,101.10581517772756,116.48119344114218,0,-114.96515819486076,62.038167072948866,60.46293278395392
15,15000,62.26759607292792,58.85717381736995,101.09250212833129,106.97329594790988,1,-26.64520679939212,62.26759607292792,58.85717381736995
16,16000,62.56442195745065,59.550809775007046,103.04791482016847,103.6165459420102,0,20.743024213213484,62.56442195745065,59.550809775007046
17,17000,61.46483030220167,60.15004763976468,104.732095932986,102.15092035545565,2,-12.61373162810643,61.46483030220167,60.15004763976468
18,18000,61.85445681017817,59.873097326073605,101.42617878378658,93.68572834784142,1,-94.27596264297259,61.85445681017817,59.873097326073605
19,19000,61.61922722255852,58.688405521347825,102.01981852326165,119.73276561707574,0,-96.48482359689083,61.61922722255852,58.688405521347825
20,20000,63.61739157577212,58.867183062746435,114.50459030012988,108.05567418710187,0,22.928539248207805,63.61739157577212,58.867183062746435
21,21000,61.845416760465966,59.569154627251805,101.1550384338655,126.41580926444274,0,-19.6570690056794,61.845416760465966,59.569154627251805
22,22000,62.026659624070035,60.034623750362435,102.02038663667162,92.4701439256331,2,-80.34557428519506,62.026659624070035,60.034623750362435
23,23000,62.56398335077904,60.327539961044835,101.6092554961898,111.7098271618876,1,-89.62476499333734,62.56398335077904,60.327539961044835
24,24000,62.025160365005604,60.26141576838156,102.56646736257716,89.52693251779364,2,-34.44405817684556,62.025160365005604,60.26141576838156
25,25000,63.31181002539066,60.20943067845816,101.40783156195309,107.85184006597802,0,-105.90673059328222,63.31181002539066,60.20943067845816
26,26000,62.79431213830645,60.42171057270296,103.90790573118807,101.32929796369513,1,-115.3743149456664,62.79431213830645,60.42171057270296
27,27000,63.3591542487868,60.82629198985365,104.31842357018007,102.55269776620611,2,-92.93370246260005,63.3591542487868,60.82629198985365
28,28000,63.06474072319347,59.74196870789857,102.0035899539883,103.19915253172178,0,-74.74955418474381,63.06474072319347,59.74196870789857
29,29000,63.30160845094594,59.96332422320971,102.73581853438762,112.61669872414338,0,-143.20148283275674,63.30160845094594,59.96332422320971
30,30000,62.751508387534805,60.99596685097297,102.33905574851147,98.52498155355524,0,-185.77017083762664,62.751508387534805,60.99596685097297
31,31000,63.24549680215876,61.7084056258979,101.15567787623951,109.40307338954004,0,-145.55272623221174,63.24549680215876,61.7084056258979
32,32000,62.98030196396834,62.564291159184585,102.39213187822429,86.06184047568226,4,-87.6366400816602,62.98030196396834,62.564291159184585
33,33000,62.420594417590316,60.8996580842915,102.92878025658914,94.99513037309647,4,-129.34987402805902,62.420594417590316,60.8996580842915
34,34000,62.54353210348482,61.19375490488755,100.39475904712029,90.55287275441353,4,-169.04261594604503,62.54353210348482,61.19375490488755
35,35000,62.286398352971005,60.655225216242506,102.66018528917019,101.27481433988694,1,-163.90541729225737,62.286398352971005,60.655225216242506
36,36000,62.00410123689653,60.92569494423956,101.91658529287164,122.47291638102148,0,-168.61624826080106,62.00410123689653,60.92569494423956
37,37000,63.39153165918814,60.402649792954044,103.15797016272847,103.08463588507705,1,-86.24230062064402,63.39153165918814,60.402649792954044
38,38000,62.30267939911802,61.23469322262439,100.91681485203154,112.26130045344581,0,-91.86424357604318,62.30267939911802,61.23469322262439
39,39000,62.76723803462481,61.84479272162311,110.05311527108339,121.23638474232537,0,-82.14151637533287,62.76723803462481,61.84479272162311
40,40000,63.14789026020185,61.02801053287649,102.8958901411373,106.49975495634641,0,-89.80499187784413,63.14789026020185,61.02801053287649
41,41000,62.47333945918253,60.78588270146688,100.53436059517108,89.43812108774802,1,-100.47373828426304,62.47333945918253,60.78588270146688
42,42000,61.11453487998095,61.78137592394961,101.39145886425472,91.9809985081167,1,-32.347943626538495,61.11453487998095,61.78137592394961
43,43000,62.30105351845819,60.900583022776544,102.99548095816877,105.68164924603518,0,15.678115106325379,62.30105351845819,60.900583022776544
44,44000,61.8580742722279,60.40469027848755,101.40710189150722,109.0673153637519,1,-58.55879921238867,61.8580742722279,60.40469027848755
45,45000,61.90079726189083,61.35803563362863,101.68261937380888,121.69014034930153,0,0.6893509854906622,61.90079726189083,61.35803563362863
46,46000,62.32147156187366,60.5114151024746,100.92544328374609,114.51054471812506,0,10.946418222484114,62.32147156187366,60.5114151024746
47,47000,61.34201370451563,60.8399229115888,101.83893569794542,103.51839519413232,1,-89.99709444806606,61.34201370451563,60.8399229115888
48,48000,61.89422543819663,61.112658916085955,103.2557503892917,90.69719217214586,1,-39.055987967135486,61.89422543819663,61.112658916085955
49,49000,62.94671842643452,60.75381401492526,101.597686187325,107.24096824464897,0,-30.710346067916657,62.94671842643452,60.75381401492526
50,50000,62.81071363072105,60.32594359665873,103.69100323575012,106.9077159797657,0,-42.28078931088386,62.81071363072105,60.32594359665873
51,51000,62.640314891815386,59.88331942280562,102.31929331432515,84.23741105674372,1,-40.73558969956922,62.640314891815386,59.88331942280562
52,52000,62.87617259754968,60.85052764539522,101.5454851813464,106.10389473668991,1,-57.205078338200636,62.87617259754968,60.85052764539522
53,53000,62.949971454107796,60.60675619823276,100.79759124512381,101.83388331570087,0,-63.67682425456577,62.949971454107796,60.60675619823276
54,54000,62.82442651031313,60.63552487820455,101.84895506318742,100.22014176854677,1,9.016959673726934,62.82442651031313,60.63552487820455
55,55000,62.400090852355426,59.66513886185211,100.37914196988865,125.70231513480778,0,-111.13278161015191,62.400090852355426,59.66513886185211
56,56000,61.89694268209149,60.658532658675654,104.46619020090114,77.58712080034817,2,-71.0207393169199,61.89694268209149,60.658532658675654
57,57000,62.25494506784634,60.91877507162659,101.63052748343617,102.22526438975562,0,-35.21306599851954,62.25494506784634,60.91877507162659
58,58000,62.013640407462255,61.63355951292862,101.12155702987852,118.163383827736,0,-66.35815349958457,62.013640407462255,61.63355951292862
59,59000,62.47683388293603,60.862388965641244,101.71973552141004,97.7958601353188,1,-127.508524347671,62.47683388293603,60.862388965641244
60,60000,63.074532832066126,60.929289258116995,101.86521924316472,101.91108898057973,1,-93.27993915876755,63.074532832066126,60.929289258116995
61,61000,63.04336996255472,60.925103686123265,100.86454361228405,99.5618663128181,0,-97.9797909718715,63.04336996255472,60.925103686123265
62,62000,63.48537176575254,61.142994470049274,103.59764385613234,98.56899633315419,0,-107.42409487308255,63.48537176575254,61.142994470049274
63,63000,63.35535466723564,61.2611919997939,102.28373135518169,118.61150310178587,0,-145.01099986113522,63.35535466723564,61.2611919997939
64,64000,64.14777912039453,61.24702512472435,102.12526628085939,106.42752508205052,0,-171.58416282878747,64.14777912039453,61.24702512472435
65,65000,62.91855584879426,60.71054359340931,102.02425962910513,98.80583279476235,1,-159.65113426392628,62.91855584879426,60.71054359340931
66,66000,62.8718834322875,61.238288545415244,101.38023542265064,101.28782906603581,2,-178.3128683401844,62.8718834322875,61.238288545415244
67,67000,63.01846009047815,61.19762131182405,99.90474041073628,115.21894439576533,0,-182.70556082742684,63.01846009047815,61.19762131182405
68,68000,63.27053557491712,61.54122319966826,100.97238465730939,105.28080039405081,1,-134.76515862143344,63.27053557491712,61.54122319966826
69,69000,63.411084658105636,61.78512125005872,102.71781625714068,95.30133577888276,1,-139.56069132199633,63.411084658105636,61.78512125005872
70,70000,63.879014650917846,60.83536149733648,101.40890267897657,118.24153788956063,1,-115.3963309662909,63.879014650917846,60.83536149733648
71,71000,62.558491137279546,61.16301659311627,101.38900916681274,95.79016341400016,0,-141.98416896480364,62.558491137279546,61.16301659311627
72,72000,62.208714302857125,61.09291098356614,103.02586794241753,122.31645278889023,0,-137.8179012610474,62.208714302857125,61.09291098356614
73,73000,62.65616323926994,60.38939901844467,99.8302740186317,100.87045330545983,1,-113.26274712731632,62.65616323926994,60.38939901844467
74,74000,62.98028851214669,60.82965686654844,100.69508833178507,108.1249183025266,1,-174.38479936176617,62.98028851214669,60.82965686654844
75,75000,62.78942293614612,60.56806673538624,101.35332584172139,101.87685671352833,2,-40.1926443547751,62.78942293614612,60.56806673538624
76,76000,63.94063896669057,60.95727022894462,103.76009648036253,111.89085826459262,1,-102.74193214193647,63.94063896669057,60.95727022894462
77,77000,62.41324306925447,60.80515010315272,101.06001945427221,93.65671277241782,3,-116.59261711699651,62.41324306925447,60.80515010315272
78,78000,63.47753268340138,60.43963436508364,102.31594997733681,111.51603954333143,0,-38.10780427817437,63.47753268340138,60.43963436508364
79,79000,62.972328375709644,60.42658636368131,101.96502619902022,106.2871026262564,0,-38.45728965148406,62.972328375709644,60.42658636368131
80,80000,62.099895374946755,59.66003072218958,100.94731455273615,108.56775740761503,1,-54.307610829704515,62.099895374946755,59.66003072218958
81,81000,62.33884107852274,60.66864135415061,100.77802385276544,96.62820905162417,2,-85.86309815468526,62.33884107852274,60.66864135415061
82,82000,62.08842539833519,60.51563085452515,101.9562381117186,108.25423127530831,1,-70.46362231642745,62.08842539833519,60.51563085452515
83,83000,62.966304352932475,60.26791383696052,100.62626568443727,85.70133752108717,3,12.812388954995422,62.966304352932475,60.26791383696052
84,84000,61.59793882828533,60.690578762339875,102.35367883247693,114.2856779715217,0,-58.66755336365395,61.59793882828533,60.690578762339875
85,85000,62.881071177817894,59.58145439031728,100.4836152882422,97.37131047034839,2,-46.117081781814846,62.881071177817894,59.58145439031728
86,86000,61.69290766564426,60.329691449537954,102.81952634366064,113.86699021754156,0,-3.538036283081366,61.69290766564426,60.329691449537954
87,87000,63.05833645193871,60.44211864773558,101.95135637151016,120.03036878521135,0,-47.19654197374735,63.05833645193871,60.44211864773558
88,88000,62.566808862998705,61.38363228462651,101.51578237077958,91.28236225408041,1,-86.51315406442119,62.566808862998705,61.38363228462651
89,89000,63.64372274442153,59.98775360938126,100.63530109302948,132.7019935025272,1,-86.76674213565693,63.64372274442153,59.98775360938126
90,90000,63.014380944380044,60.601519684439175,101.37237610469984,121.06701566766301,0,-43.11780625536271,63.014380944380044,60.601519684439175
91,91000,62.37751565361536,60.97099409290603,101.68273868206013,99.97798259057646,0,-90.0609284822063,62.37751565361536,60.97099409290603
92,92000,62.63723138189773,60.94230346805446,100.79943768190545,97.53901321324673,0,-76.96322777719685,62.63723138189773,60.94230346805446
93,93000,62.55933085893025,60.755264764808885,100.94915802860412,98.08912176864068,0,-150.04470868504316,62.55933085893025,60.755264764808885
94,94000,63.441191687334516,60.13781095818023,103.38807229144204,115.65247400926492,0,-54.804043594631864,63.441191687334516,60.13781095818023
95,95000,63.91418406671308,61.25871761636301,101.38697265649421,128.6782750795595,0,-43.66349653601478,63.91418406671308,61.25871761636301
96,96000,62.80569318476418,61.2897420604909,102.24119157366724,116.60790487990823,1,-126.66065825379098,62.80569318476418,61.2897420604909
97,97000,62.75923261326636,61.14080821898129,101.03846870133336,99.54242982519796,1,-123.58461762663418,62.75923261326636,61.14080821898129
98,98000,62.88123115044955,60.66062253244481,103.0819506697359,118.94821213236816,0,-108.51272104828425,62.88123115044955,60.66062253244481
