x_center_A,z22,z26,z30,z34,z38,z42,z46,z50,z54,z58,z62,z66,z70,z74,z78,z82,z86,z90,z94,z98,z102,z106,z110,z114,z118
146.0,-1037.24,-5.68,116.39,-3.69,-20.39,-1.05,-190.92,-217.05,-164.92,-90.25,-15.51,-55.76,-102.82,-105.69,-75.59,5.27,-9.89,62.87,38.27,25.20,3.05,-34.09,-41.60,-76.79,38.89
150.0,-94.55,-451.49,-108.55,66.27,-28.00,-13.41,-136.03,-280.11,-147.62,-130.02,-41.47,-37.39,-112.42,-57.83,-53.47,-16.77,-65.34,31.47,38.28,60.23,11.60,-8.91,64.90,23.06,65.20
154.0,110.56,43.91,-41.40,-46.06,-58.34,-44.97,-60.84,-246.27,-86.28,-162.68,-137.08,-50.94,-66.20,-173.46,-23.01,-26.57,-51.53,-17.38,6.75,-34.52,36.55,-98.05,-60.81,-12.12,-19.13
158.0,212.92,-128.63,32.69,-28.52,-40.57,7.06,-50.56,38.63,-172.16,-130.93,-118.14,-79.48,-93.21,-205.59,-107.11,-30.79,-69.91,69.03,63.30,60.49,31.24,68.37,139.49,95.07,63.26
162.0,-508.87,-48.93,-12.97,9.53,-105.49,51.14,134.35,162.73,-18.87,-82.33,-169.53,-127.52,-72.39,-75.96,-8.60,64.15,107.20,111.84,123.76,-10.79,-62.66,-4.81,100.14,58.64,148.93
166.0,-69.55,-116.54,29.45,17.77,-59.17,22.32,75.33,13.00,-19.36,-101.88,-156.60,-205.38,-146.71,-96.23,-66.39,6.04,-20.93,-72.12,-47.95,15.22,-45.33,36.28,15.56,-1.11,35.63
170.0,53.64,147.92,58.87,10.55,60.65,-12.89,137.21,62.17,-64.98,-124.98,-172.13,-134.94,-103.04,36.36,38.00,70.19,56.68,-98.04,48.87,-7.68,6.36,17.96,-33.48,25.99,-15.81
174.0,216.06,21.75,19.41,-139.91,38.44,106.49,106.29,72.54,-25.04,-92.87,-93.75,-92.78,-44.33,64.19,181.63,153.56,79.91,54.76,70.29,37.67,-27.01,-46.56,-92.16,1.09,70.78
178.0,65.78,32.45,-10.02,-80.21,-3.01,93.04,93.14,112.93,45.28,-41.29,-142.48,-38.48,13.06,38.05,124.95,160.74,56.98,71.75,-85.93,-14.78,-55.70,-10.40,-94.31,54.69,-18.12
182.0,26.29,-61.06,-279.91,-272.20,-148.79,5.61,164.77,149.31,13.34,91.18,157.79,28.65,157.52,357.17,184.13,15.19,-69.77,-84.59,-122.14,-23.51,22.22,28.71,-70.78,16.25,45.94
