frame,step,tau_nominal_MPa,n_segments,dxa_total_len_A,n_interface_segments,n_other_segments,x_plus,z_plus,len_plus,xmin_plus,xmax_plus,x_minus,z_minus,len_minus,xmin_minus,xmax_minus,xu_plus,xu_minus,s_A,s_dev_A
0,0,0.0,4,359.51448932635384,0,0,152.3177805770146,50.246292018155486,179.7508344915556,148.2165163723476,156.93565671378948,107.9812107837493,73.5164874049263,179.76365483479822,103.09082792181827,112.87159364568036,152.3177805770146,107.9812107837493,44.336569793265284,-0.4358454189896648
1,2000,0.0,4,362.3060396046051,0,0,149.8864974503922,50.05442176469886,180.94488804277478,145.3458378875895,154.42715701319486,107.4639824769529,73.2680682493226,181.36115156183027,102.37696358988849,112.55100136401737,149.8864974503922,107.4639824769529,42.42251497343929,-1.3351119140405316
2,4000,0.0,4,360.77849311151806,0,0,151.49526274045112,50.26291118259454,179.8160136712615,146.86552338173726,155.60704473890647,106.1504809605603,73.37558077243318,180.96247944025663,101.04380518787671,111.90316666204018,151.49526274045112,106.1504809605603,45.34478177989082,2.6019432171861325
3,6000,0.014575338308623289,4,360.6928638127255,0,0,149.89309918352157,49.88981917413154,180.13292749246327,145.17986135201923,154.60633701502388,106.5605471296357,72.75014613771748,180.55993632026218,101.76336872605333,111.35772553321806,149.89309918352157,106.5605471296357,43.33255205388588,1.6045018159563114
4,8000,0.3875091767428495,4,361.1029358337812,0,0,150.12812881129966,49.515128688342074,180.54419273351783,145.40063381636207,154.85562380623725,108.46065525755506,72.49248672463077,180.55874310026337,103.90942076317202,113.0118897519381,150.12812881129966,108.46065525755506,41.6674735537446,0.9542116405901666
5,10000,1.7394546306435006,4,359.8426055059592,0,0,148.771597625827,49.33288312858892,179.4732669127628,144.60551168641487,152.93768356523915,110.93112405235509,72.2539199447712,180.36933859319637,105.84501041546957,115.44741071667666,148.771597625827,110.93112405235509,37.840473573471925,-1.8580000149073825
6,12000,4.5565945099676535,4,361.07275433237527,0,0,149.04314664113917,49.47312384699441,179.90027219840673,144.57454723609598,153.01205186619546,111.68479076018406,72.383341338495,181.17248213396854,107.4851242166274,116.413663089827,149.04314664113917,111.68479076018406,37.358355880955116,-1.325329382649059
7,14000,9.1020490554222,4,359.7537011733158,0,0,146.38770640081856,49.7095448656984,180.18434674010558,142.2120730967173,151.08946832861096,111.54462683367781,72.6857522691202,179.56935443321024,106.99346518815135,116.09578847920429,146.38770640081856,111.54462683367781,34.84307956714075,-2.825817371688302
8,16000,15.375818267007133,4,360.9538009513618,0,0,146.49141748547646,49.99477913277754,181.15707945790192,142.24811507799453,150.73471989295842,109.42794861914378,73.15584100027826,179.79672149345993,104.7444500835491,114.11144715473846,146.49141748547646,109.42794861914378,37.063468866332684,0.40936025227876627
9,18000,23.114781904015576,4,360.25777726704604,0,0,144.98653378756933,50.21663720001244,179.54408195847736,140.40745302833847,149.5656145468002,108.4950311591137,73.44558407999881,180.71369530856865,104.24961209341443,113.2755164302287,144.98653378756933,108.4950311591137,36.491502628455635,0.8521823391768422
10,20000,31.83275715649044,4,361.11336393133126,0,0,144.35116203126725,50.080210238602064,180.24237896194444,140.0437118224711,148.17715704348709,108.36872522967704,73.29410552055673,180.87098496938677,103.58903939152047,113.14841106783364,144.35116203126725,108.36872522967704,35.98243680159021,1.3579048370865507
11,22000,40.90909090909091,4,360.72581414876544,0,0,147.09750515960394,50.254186613104636,179.6600568241467,142.71151475622878,151.48349556297916,110.59211773633594,73.41886648603963,181.06575732461874,106.02322058679304,115.16101488587886,147.09750515960394,110.59211773633594,36.505387423268004,2.8956437835394695
12,24000,50.0,4,360.11208983931556,0,0,145.27875363101907,49.836241405529215,179.8232909990044,140.99777281233887,150.09935790772423,110.60806404335305,72.88528051525779,180.28879884031116,106.23835165600704,114.97777643069907,145.27875363101907,110.60806404335305,34.67068958766602,2.075734272712616
13,26000,59.090909090909086,4,361.8483088347135,0,0,146.45383500266297,49.600002920954715,180.09317230526574,141.8308476622254,150.55963075808776,111.6304588817755,72.51808336699553,181.75513652944778,107.56952200819673,115.69139575535429,146.45383500266297,111.6304588817755,34.823376120887474,3.2432091307091966
14,28000,68.18181818181817,4,363.99753093243135,0,0,146.3279524804038,49.415384900612665,184.2350449181401,142.55357542322662,150.10232953758097,111.2455970187001,72.30536956230087,179.7624860142912,106.4394292955705,115.51378137479342,146.3279524804038,111.2455970187001,35.08235546170371,4.516976796300568
15,30000,77.27272727272727,4,360.24457852581577,0,0,147.99199426390348,49.57334977838492,180.00406134440854,143.04898044462834,152.3814691795451,111.62341193313559,72.53138826337349,180.2405171814072,106.16698938690679,116.46775020594517,147.99199426390348,111.62341193313559,36.36858233076789,6.817991990139873
16,32000,86.36363636363636,4,360.8635825543115,0,0,147.55349727213707,49.60343924827491,180.98867481613317,143.53383403895222,151.5731605053219,108.10304704139108,72.51060898167866,179.87490773817834,103.4508823141226,113.3425199129736,147.55349727213707,108.10304704139108,39.450450230745986,10.914648214893095
17,34000,95.45454545454545,4,359.6436925725892,0,0,148.45730204653987,50.01919027739007,179.95375258880335,143.25965116939543,153.07241464736745,101.41289852055282,73.02718976854874,179.68993998378585,96.33842557412497,106.48737146698066,148.45730204653987,101.41289852055282,47.04440352598705,19.52338983490929
18,36000,104.54545454545455,4,360.5505717413179,0,0,153.01385668028914,50.29865855987161,180.1595895562627,148.5862233333151,157.44149002726317,95.26437685058359,73.30739388684665,180.3909821850552,90.86195361938317,100.2220009468482,153.01385668028914,95.26437685058359,57.74947982970555,31.243254463402916
19,38000,113.63636363636363,4,360.94098341320745,0,0,155.30840820884887,50.145162485389726,180.84993611098912,151.28036978584677,159.336446631851,89.71873411956511,73.22698457249902,180.09104730221833,84.75762074219162,95.30701809338252,155.30840820884887,89.71873411956511,65.58967408928376,40.09823704775626
20,40000,122.72727272727272,4,361.21640752529356,0,0,160.15342909432886,50.371084142190895,180.59722126472712,156.002566543272,164.8272495666411,84.78711850254804,73.368442466664,180.61918626056644,79.57273842121715,90.00149858387893,160.15342909432886,84.78711850254804,75.36631059178082,50.88966187502844
21,42000,131.8181818181818,4,359.86212185624237,0,0,165.0023857901214,50.01467865910051,179.2110429681898,160.7139655579077,169.29080602233506,76.35274841752606,72.92290524288691,180.6510788880526,71.71059242428767,80.47553870681143,165.0023857901214,76.35274841752606,88.64963737259534,65.18777698061808
22,44000,140.9090909090909,4,360.6231752027328,0,0,171.49595202114446,49.7048547446948,180.1564611018287,166.55686554312072,175.8819463026283,61.973096745526924,72.5144048112727,180.46671410090406,57.04669819602222,66.89949529503163,171.49595202114446,61.973096745526924,109.52285527561753,87.07578320841542
23,46000,150.0,3,252.9387918071643,0,0,183.14383195357723,49.71087108279416,73.45533062198727,183.14383195357723,183.14383195357723,39.54825302038544,72.29194172300447,179.48346118517702,35.38686368918024,43.70964235159064,183.14383195357723,39.54825302038544,143.5955789331918,122.16329519076481
24,48000,159.0909090909091,3,136.28011069116667,0,0,,,,,,25.136461515688776,72.56632522992571,136.28011069116667,17.68280629867464,28.802358025291287,,25.136461515688776,,
25,50000,168.1818181818182,0,0.0,0,0,,,,,,,,,,,,,,
26,52000,177.27272727272725,0,0.0,0,0,,,,,,,,,,,,,,
27,54000,186.36363636363635,0,0.0,0,0,,,,,,,,,,,,,,
28,56000,195.45454545454544,2,34.30048446762052,0,2,,,,,,,,,,,,,,
29,58000,204.54545454545453,9,77.43951908920079,0,9,,,,,,,,,,,,,,
30,60000,213.63636363636363,5,57.88916352023064,0,5,,,,,,,,,,,,,,
31,62000,222.72727272727272,8,59.856563434972095,0,7,9.97060072711525,55.80566007581712,4.127494458987627,9.97060072711525,9.97060072711525,,,,,,196.11640072711526,,,
32,64000,231.8181818181818,5,55.31384669814809,0,5,,,,,,,,,,,,,,
33,66000,240.9090909090909,3,32.874937590638325,0,3,,,,,,,,,,,,,,
34,68000,250.0,3,26.74305099908015,0,2,,,,,,9.001984029348156,57.99050618310567,4.430216596937359,9.001984029348156,9.001984029348156,,9.001984029348154,,
35,70000,259.09090909090907,3,29.357718071147623,0,2,,,,,,9.406528871923092,56.36966525014545,7.050278263308757,9.406528871923092,9.406528871923092,,9.40652887192309,,
36,72000,268.1818181818182,5,42.6705823508795,0,3,10.005746047574275,57.36302858982409,10.729599397950288,9.197104772590363,10.814387322558186,,,,,,196.1515460475743,,,
37,74000,277.27272727272725,4,41.91332458346411,0,3,10.829588090788228,56.075031018640914,5.677297035613964,10.829588090788228,10.829588090788228,,,,,,196.97538809078824,,,
38,76000,286.3636363636364,0,0.0,0,0,,,,,,,,,,,,,,
39,78000,295.45454545454544,3,28.81677285567899,0,3,,,,,,,,,,,,,,
40,80000,304.5454545454545,1,19.67895847180222,0,1,,,,,,,,,,,,,,
41,82000,313.6363636363636,2,32.28559979629414,0,2,,,,,,,,,,,,,,
42,84000,322.7272727272727,1,18.48363363515523,0,1,,,,,,,,,,,,,,
43,86000,331.8181818181818,5,45.20370971753469,0,5,,,,,,,,,,,,,,
44,88000,340.9090909090909,2,25.6390533741755,0,2,,,,,,,,,,,,,,
45,90000,350.0,6,45.06129339732695,0,6,,,,,,,,,,,,,,
46,92000,359.09090909090907,6,46.79844468565731,0,4,12.532033699957893,60.39465699722799,11.57110340420679,12.532033699957893,12.532033699957893,6.369931841423369,59.22228680640608,8.17145557473062,6.369931841423369,6.369931841423369,198.67783369995792,6.369931841423368,192.30790185853454,194.2157495859355
47,94000,368.1818181818182,1,22.907090992145303,0,1,,,,,,,,,,,,,,
48,96000,377.27272727272725,4,45.18030911873376,1,2,12.921894997566527,56.50782493382155,10.835266644778976,12.921894997566527,12.921894997566527,,,,,,199.06769499756655,,,
49,98000,386.3636363636363,7,55.669232350645466,0,5,12.547924484686614,48.111760106213836,10.478972662887198,12.547924484686614,12.547924484686614,6.174522940595182,47.45288023186734,9.024895209022539,6.174522940595182,6.174522940595182,198.69372448468664,6.17452294059518,192.51920154409146,197.4714142458178
50,100000,395.45454545454544,7,56.44791207961846,5,2,,,,,,,,,,,,,,
