timestep,time_ps,distance_mode,available_distance_max_A,plastic_layer_thickness_A,max_above_yield_distance_A,max_sigma_vm_mean_mpa,max_sigma_vm_p95_mpa,max_above_yield_fraction,hcp_atoms,other_atoms,dislocation_segments,dislocation_line_length_A,event_class,physical_interpretation_flag
0,0.0,surface-distance,157.8545097717273,157.8545097717273,157.8545097717273,794.2105863882646,28611.373427322418,1.0,0,6160,0,0.0,no_event,no_persistent_plasticity
10000,2.0,surface-distance,157.63581189186596,157.63581189186596,157.63581189186596,1523.8454515167637,22750.77462619788,1.0,4,7490,0,0.0,weak_hcp,local_lattice_disturbance_no_DXA
20000,4.0,surface-distance,157.75136551076184,157.75136551076184,157.75136551076184,1475.9219015002873,23198.034459692088,1.0,3,7512,0,0.0,weak_hcp,local_lattice_disturbance_no_DXA
30000,6.0,surface-distance,157.80153788152887,157.80153788152887,157.80153788152887,1555.222024899358,23376.365329048516,1.0,0,7714,0,0.0,weak_hcp,local_lattice_disturbance_no_DXA
40000,8.0,surface-distance,157.66754782649832,157.66754782649832,157.66754782649832,1923.3435538841484,22352.114018147793,1.0,1,7745,0,0.0,weak_hcp,local_lattice_disturbance_no_DXA
50000,10.0,surface-distance,157.8388308162298,157.8388308162298,157.8388308162298,1418.5230967727814,22158.539667413657,1.0,5,7781,0,0.0,weak_hcp,local_lattice_disturbance_no_DXA
60000,12.0,surface-distance,157.6558101324835,157.6558101324835,157.6558101324835,1846.198861492983,24500.24704823129,1.0,6,7844,2,17.45135037842975,confirmed_DXA,short_transient_dxa / not_developed_dislocation
70000,14.0,surface-distance,157.74935827492058,157.74935827492058,157.74935827492058,1575.2981103047034,22817.757452524485,1.0,1,7935,0,0.0,weak_hcp,local_lattice_disturbance_no_DXA
80000,16.0,surface-distance,157.6896654664086,157.6896654664086,157.6896654664086,1527.11888684915,22258.549013321583,1.0,3,7889,0,0.0,weak_hcp,local_lattice_disturbance_no_DXA
