case,stage,atom_target,eps_z,matrix_atoms,fcc_pct,hcp_pct,other_pct,dislocation_segments,dislocation_length_A,dislocation_density_per_m2,defect_atoms_beyond_1p3_shell,science_signal,dump
B3_nearGB_vacancies_medium_eps0025_production,B3_nearGB_vacancies_focus_100k,100000,0.0025,98788,82.581,0.0081,17.411,0,0.0,0.0,13445,True,C:\Users\dille\Documents\ilua-system\projects\physics_md_al_fe\runs\stageB_nearGB_vacancies_focus_100k\20260615-215533\cases\B3_nearGB_vacancies_focus_100k\B3_nearGB_vacancies_medium_eps0025\production\dump.final.lammpstrj
B3_nearGB_vacancies_medium_eps0100_production,B3_nearGB_vacancies_focus_100k,100000,0.01,98788,83.657,0.001,16.342,0,0.0,0.0,12517,True,C:\Users\dille\Documents\ilua-system\projects\physics_md_al_fe\runs\stageB_nearGB_vacancies_focus_100k\20260615-215533\cases\B3_nearGB_vacancies_focus_100k\B3_nearGB_vacancies_medium_eps0100\production\dump.final.lammpstrj
