case_id,stageB_case,position,predefect,eps_z,phase,steps_target,steps_completed,exit_code,success,wall_time_s,timesteps_per_s,final_temp,final_press,failure_reasons,log
B3_nearGB_vacancies_medium_eps0025_production,B3_nearGB_vacancies_medium_eps0025,near_grain_boundary,vacancies_medium,0.0025,production,100000,100000,0,True,37100.226,2.696,286.17462,-2333.3769,[],C:\Users\dille\Documents\ilua-system\projects\physics_md_al_fe\runs\stageB_nearGB_vacancies_focus_100k\20260615-215533\cases\B3_nearGB_vacancies_focus_100k\B3_nearGB_vacancies_medium_eps0025\production\log.chunk0090000_0100000.lammps
B3_nearGB_vacancies_medium_eps0100_production,B3_nearGB_vacancies_medium_eps0100,near_grain_boundary,vacancies_medium,0.01,production,100000,100000,0,True,37168.278,2.692,286.81063,-2808.9459,[],C:\Users\dille\Documents\ilua-system\projects\physics_md_al_fe\runs\stageB_nearGB_vacancies_focus_100k\20260615-215533\cases\B3_nearGB_vacancies_focus_100k\B3_nearGB_vacancies_medium_eps0100\production\log.chunk0090000_0100000.lammps
