case_id,position,predefect,eps_z,atom_target,actual_atom_count,matrix_atoms,inclusion_atoms,safe_basic,min_pair_distance_A,pairs_below_1p8_A,cross_source_pairs_below_2p1_A,boundary_plane,boundary_location,inclusion_distance_to_boundary,vacancy_count_actual,no_inclusion_atoms_deleted,geometry_metadata
B3_nearGB_vacancies_medium_eps0025,near_grain_boundary,vacancies_medium,0.0025,100000,103037,98788,4249,True,1.8112150567167962,0,0,x,52.65,26.70000000000001,200,True,C:\Users\dille\Documents\ilua-system\projects\physics_md_al_fe\runs\stageB_nearGB_vacancies_focus_100k\20260615-215533\structures\B3_nearGB_vacancies_focus_100k\B3_nearGB_vacancies_medium_eps0025\geometry_metadata.json
B3_nearGB_vacancies_medium_eps0100,near_grain_boundary,vacancies_medium,0.01,100000,103037,98788,4249,True,1.8112150567167962,0,0,x,52.65,26.70000000000001,200,True,C:\Users\dille\Documents\ilua-system\projects\physics_md_al_fe\runs\stageB_nearGB_vacancies_focus_100k\20260615-215533\structures\B3_nearGB_vacancies_focus_100k\B3_nearGB_vacancies_medium_eps0100\geometry_metadata.json
