case_id,stageB_case,position,predefect,eps_z,phase,steps_target,steps_completed,exit_code,success,wall_time_s,timesteps_per_s,final_temp,final_press,failure_reasons,log
B3_nearGB_vacancies_medium_eps0025_smoke,B3_nearGB_vacancies_medium_eps0025,near_grain_boundary,vacancies_medium,0.0025,smoke,2000,2000,0,True,747.937,2.681,287.74468,-2418.8761,[],C:\Users\dille\Documents\ilua-system\projects\physics_md_al_fe\runs\stageB_nearGB_vacancies_focus_100k\20260615-215533\cases\B3_nearGB_vacancies_focus_100k\B3_nearGB_vacancies_medium_eps0025\smoke\log.B3_nearGB_vacancies_medium_eps0025_smoke.lammps
B3_nearGB_vacancies_medium_eps0100_smoke,B3_nearGB_vacancies_medium_eps0100,near_grain_boundary,vacancies_medium,0.01,smoke,2000,2000,0,True,746.484,2.686,287.17871,-2816.6001,[],C:\Users\dille\Documents\ilua-system\projects\physics_md_al_fe\runs\stageB_nearGB_vacancies_focus_100k\20260615-215533\cases\B3_nearGB_vacancies_focus_100k\B3_nearGB_vacancies_medium_eps0100\smoke\log.B3_nearGB_vacancies_medium_eps0100_smoke.lammps
