pair_index,timestep,atom_i,atom_j,classification,distance_A,below_2p1_A,below_1p8_A
1,0,232,260,internal Fe4Al13 pair,2.0267974114104237,True,False
1,100,232,260,internal Fe4Al13 pair,2.121371621286568,False,False
1,200,232,260,internal Fe4Al13 pair,2.0911223326242814,True,False
1,300,232,260,internal Fe4Al13 pair,1.999161872610621,True,False
1,400,232,260,internal Fe4Al13 pair,2.026351488291207,True,False
1,500,232,260,internal Fe4Al13 pair,2.026514790372867,True,False
1,600,232,260,internal Fe4Al13 pair,2.12663311607809,False,False
1,700,232,260,internal Fe4Al13 pair,2.0400647764470556,True,False
1,800,232,260,internal Fe4Al13 pair,2.100589321976101,False,False
1,900,232,260,internal Fe4Al13 pair,2.041844772772895,True,False
1,1000,232,260,internal Fe4Al13 pair,2.0318025838156597,True,False
1,1100,232,260,internal Fe4Al13 pair,2.0838972854725806,True,False
1,1200,232,260,internal Fe4Al13 pair,2.1149460631420385,False,False
1,1300,232,260,internal Fe4Al13 pair,2.0571394727630894,True,False
1,1400,232,260,internal Fe4Al13 pair,2.0970600993056876,True,False
1,1500,232,260,internal Fe4Al13 pair,2.058763260430885,True,False
1,1600,232,260,internal Fe4Al13 pair,2.0722607364904646,True,False
1,1700,232,260,internal Fe4Al13 pair,2.096307235139923,True,False
1,1800,232,260,internal Fe4Al13 pair,2.093805348068439,True,False
1,1900,232,260,internal Fe4Al13 pair,2.0711452249661297,True,False
1,2000,232,260,internal Fe4Al13 pair,2.0111701509568944,True,False
1,2100,232,260,internal Fe4Al13 pair,2.099221520087862,True,False
1,2200,232,260,internal Fe4Al13 pair,2.09658243901832,True,False
1,2300,232,260,internal Fe4Al13 pair,2.1184728847922503,False,False
1,2400,232,260,internal Fe4Al13 pair,2.0990509475474837,True,False
1,2500,232,260,internal Fe4Al13 pair,2.0575044381240084,True,False
1,2600,232,260,internal Fe4Al13 pair,2.1094651312595825,False,False
1,2700,232,260,internal Fe4Al13 pair,2.0746121729373908,True,False
1,2800,232,260,internal Fe4Al13 pair,2.0455787035457673,True,False
1,2900,232,260,internal Fe4Al13 pair,2.053056800578105,True,False
1,3000,232,260,internal Fe4Al13 pair,2.13803946305956,False,False
1,3100,232,260,internal Fe4Al13 pair,2.1501488041528614,False,False
1,3200,232,260,internal Fe4Al13 pair,2.0991768593665467,True,False
1,3300,232,260,internal Fe4Al13 pair,2.098330098935821,True,False
1,3400,232,260,internal Fe4Al13 pair,2.1100207803716056,False,False
1,3500,232,260,internal Fe4Al13 pair,2.117992095853993,False,False
1,3600,232,260,internal Fe4Al13 pair,2.0949753274203426,True,False
1,3700,232,260,internal Fe4Al13 pair,1.9899653138685618,True,False
1,3800,232,260,internal Fe4Al13 pair,2.054328165216065,True,False
1,3900,232,260,internal Fe4Al13 pair,2.09612572955441,True,False
1,4000,232,260,internal Fe4Al13 pair,2.1185639155805496,False,False
1,4100,232,260,internal Fe4Al13 pair,2.028534578186924,True,False
1,4200,232,260,internal Fe4Al13 pair,2.067181344851004,True,False
1,4300,232,260,internal Fe4Al13 pair,2.023889178883074,True,False
1,4400,232,260,internal Fe4Al13 pair,2.064205162671581,True,False
1,4500,232,260,internal Fe4Al13 pair,2.0721082747047763,True,False
1,4600,232,260,internal Fe4Al13 pair,2.102994943622067,False,False
1,4700,232,260,internal Fe4Al13 pair,2.123198698214556,False,False
1,4800,232,260,internal Fe4Al13 pair,1.9837300647013458,True,False
1,4900,232,260,internal Fe4Al13 pair,2.0976389298446945,True,False
1,5000,232,260,internal Fe4Al13 pair,2.1747817045625535,False,False
1,5100,232,260,internal Fe4Al13 pair,2.10102770236377,False,False
1,5200,232,260,internal Fe4Al13 pair,2.0342206548209063,True,False
1,5300,232,260,internal Fe4Al13 pair,2.2133181163357434,False,False
1,5400,232,260,internal Fe4Al13 pair,2.1268198214470337,False,False
1,5500,232,260,internal Fe4Al13 pair,1.9798646071133243,True,False
1,5600,232,260,internal Fe4Al13 pair,1.9837267813133947,True,False
1,5700,232,260,internal Fe4Al13 pair,2.169525483233601,False,False
1,5800,232,260,internal Fe4Al13 pair,2.1667738902802056,False,False
1,5900,232,260,internal Fe4Al13 pair,2.0193714039027104,True,False
1,6000,232,260,internal Fe4Al13 pair,2.110121800015349,False,False
1,6100,232,260,internal Fe4Al13 pair,1.9561508179330207,True,False
1,6200,232,260,internal Fe4Al13 pair,2.1750697810645048,False,False
1,6300,232,260,internal Fe4Al13 pair,2.0890689722697084,True,False
1,6400,232,260,internal Fe4Al13 pair,2.0260417884140542,True,False
1,6500,232,260,internal Fe4Al13 pair,2.0636985803164123,True,False
1,6600,232,260,internal Fe4Al13 pair,2.1390171504688724,False,False
1,6700,232,260,internal Fe4Al13 pair,2.0754830913548785,True,False
1,6800,232,260,internal Fe4Al13 pair,2.1075485176858906,False,False
1,6900,232,260,internal Fe4Al13 pair,2.0298261009505203,True,False
1,7000,232,260,internal Fe4Al13 pair,2.0187753249185487,True,False
1,7100,232,260,internal Fe4Al13 pair,2.168974063560925,False,False
1,7200,232,260,internal Fe4Al13 pair,2.0421302466052436,True,False
1,7300,232,260,internal Fe4Al13 pair,2.066403361785882,True,False
1,7400,232,260,internal Fe4Al13 pair,2.0785890227748287,True,False
1,7500,232,260,internal Fe4Al13 pair,2.069039188246558,True,False
1,7600,232,260,internal Fe4Al13 pair,2.0608598725774643,True,False
1,7700,232,260,internal Fe4Al13 pair,1.9758430697046736,True,False
1,7800,232,260,internal Fe4Al13 pair,2.05362746660635,True,False
1,7900,232,260,internal Fe4Al13 pair,2.037227400267334,True,False
1,8000,232,260,internal Fe4Al13 pair,2.0393159271922587,True,False
1,8100,232,260,internal Fe4Al13 pair,2.118396658442419,False,False
1,8200,232,260,internal Fe4Al13 pair,2.0312342843945936,True,False
1,8300,232,260,internal Fe4Al13 pair,2.018988097265553,True,False
1,8400,232,260,internal Fe4Al13 pair,2.0631935402186565,True,False
1,8500,232,260,internal Fe4Al13 pair,2.123083930064939,False,False
1,8600,232,260,internal Fe4Al13 pair,2.0591726009249496,True,False
1,8700,232,260,internal Fe4Al13 pair,2.0885658533069984,True,False
1,8800,232,260,internal Fe4Al13 pair,2.104564936037852,False,False
1,8900,232,260,internal Fe4Al13 pair,2.156680508582581,False,False
1,9000,232,260,internal Fe4Al13 pair,2.080848370953536,True,False
1,9100,232,260,internal Fe4Al13 pair,2.0002137166063014,True,False
1,9200,232,260,internal Fe4Al13 pair,2.016144235911704,True,False
1,9300,232,260,internal Fe4Al13 pair,2.1013496141527717,False,False
1,9400,232,260,internal Fe4Al13 pair,2.1324853214969592,False,False
1,9500,232,260,internal Fe4Al13 pair,1.9811710602822723,True,False
1,9600,232,260,internal Fe4Al13 pair,2.1096058736408567,False,False
1,9700,232,260,internal Fe4Al13 pair,2.0055722042349875,True,False
1,9800,232,260,internal Fe4Al13 pair,2.1446601077093814,False,False
1,9900,232,260,internal Fe4Al13 pair,2.0563472955947906,True,False
1,10000,232,260,internal Fe4Al13 pair,2.076189645697136,True,False
1,10100,232,260,internal Fe4Al13 pair,2.1222734309226037,False,False
1,10200,232,260,internal Fe4Al13 pair,2.0933166775478584,True,False
1,10300,232,260,internal Fe4Al13 pair,2.087633216084663,True,False
1,10400,232,260,internal Fe4Al13 pair,2.0472547741793155,True,False
1,10500,232,260,internal Fe4Al13 pair,2.0227402903239926,True,False
1,10600,232,260,internal Fe4Al13 pair,2.061828981972072,True,False
1,10700,232,260,internal Fe4Al13 pair,2.029463007817583,True,False
1,10800,232,260,internal Fe4Al13 pair,2.0487604179112795,True,False
1,10900,232,260,internal Fe4Al13 pair,2.105081143234149,False,False
1,11000,232,260,internal Fe4Al13 pair,2.079334523952318,True,False
1,11100,232,260,internal Fe4Al13 pair,2.0289098405054835,True,False
1,11200,232,260,internal Fe4Al13 pair,2.048125806707195,True,False
1,11300,232,260,internal Fe4Al13 pair,2.122211164422617,False,False
1,11400,232,260,internal Fe4Al13 pair,2.0771810133206974,True,False
1,11500,232,260,internal Fe4Al13 pair,2.0702109071299937,True,False
1,11600,232,260,internal Fe4Al13 pair,2.029698078927009,True,False
1,11700,232,260,internal Fe4Al13 pair,2.045561892585994,True,False
1,11800,232,260,internal Fe4Al13 pair,2.0096537188281998,True,False
1,11900,232,260,internal Fe4Al13 pair,2.035055780464014,True,False
1,12000,232,260,internal Fe4Al13 pair,2.0343271547369164,True,False
1,12100,232,260,internal Fe4Al13 pair,2.033627805081354,True,False
1,12200,232,260,internal Fe4Al13 pair,2.04192664385869,True,False
1,12300,232,260,internal Fe4Al13 pair,2.1187568515759425,False,False
1,12400,232,260,internal Fe4Al13 pair,2.0629990926803607,True,False
1,12500,232,260,internal Fe4Al13 pair,2.2168108489449434,False,False
1,12600,232,260,internal Fe4Al13 pair,2.122741585874268,False,False
1,12700,232,260,internal Fe4Al13 pair,2.0533691125805955,True,False
1,12800,232,260,internal Fe4Al13 pair,1.9865868727292069,True,False
1,12900,232,260,internal Fe4Al13 pair,2.1387349820863766,False,False
1,13000,232,260,internal Fe4Al13 pair,2.0258024272124913,True,False
1,13100,232,260,internal Fe4Al13 pair,2.1160689849104624,False,False
1,13200,232,260,internal Fe4Al13 pair,1.9891367538708904,True,False
1,13300,232,260,internal Fe4Al13 pair,2.1233810674487965,False,False
1,13400,232,260,internal Fe4Al13 pair,2.0049348348761886,True,False
1,13500,232,260,internal Fe4Al13 pair,2.1061467879756113,False,False
1,13600,232,260,internal Fe4Al13 pair,2.070726801898308,True,False
1,13700,232,260,internal Fe4Al13 pair,2.067461826394864,True,False
1,13800,232,260,internal Fe4Al13 pair,2.0759444386832695,True,False
1,13900,232,260,internal Fe4Al13 pair,2.003330367163639,True,False
1,14000,232,260,internal Fe4Al13 pair,2.1221811898139165,False,False
1,14100,232,260,internal Fe4Al13 pair,2.050308957913415,True,False
1,14200,232,260,internal Fe4Al13 pair,1.9937676812758316,True,False
1,14300,232,260,internal Fe4Al13 pair,2.1255552898007655,False,False
1,14400,232,260,internal Fe4Al13 pair,2.1697698736041087,False,False
1,14500,232,260,internal Fe4Al13 pair,2.066810490199816,True,False
1,14600,232,260,internal Fe4Al13 pair,2.0369934511431285,True,False
1,14700,232,260,internal Fe4Al13 pair,1.9822217747013073,True,False
1,14800,232,260,internal Fe4Al13 pair,2.18535345424945,False,False
1,14900,232,260,internal Fe4Al13 pair,2.1383926790933407,False,False
1,15000,232,260,internal Fe4Al13 pair,2.024313351633091,True,False
