pair_index,neighbor_atom_id,type,species,phase,x_A,y_A,z_A,distance_to_pair_center_A,distance_to_atom_i_A,distance_to_atom_j_A
1,260,2,Fe,Fe4Al13_slab,11.093840125494985,3.8223408374696097,102.07099357688503,1.0115839464107568,2.023167892821514,0.0
1,232,1,Al,Fe4Al13_slab,11.86840244568571,5.366054344160707,103.12465867735295,1.0115839464107574,0.0,2.023167892821514
1,241,1,Al,Fe4Al13_slab,13.243506879967669,3.009342020852894,103.18480255746358,2.441784488993489,2.729216456481159,2.553939051019569
1,302,1,Al,Fe4Al13_slab,9.780354280779598,6.063045075649148,101.58122041694583,2.4664972143330623,2.688483379609619,2.643081212422402
1,261,1,Al,Fe4Al13_slab,12.421878098446014,5.6112612359858005,100.54039749631825,2.480414161002304,2.6542169409827556,2.7030807260741576
1,259,1,Al,Fe4Al13_slab,13.010050210934907,2.8495122766393024,100.51148839929829,3.119992887617572,3.8032883797592443,2.655242531150158
1,242,1,Al,Fe4Al13_slab,10.708927684178887,1.8816146477427902,101.19376645788006,3.150519439059422,4.686231117054248,2.164278898222052
1,236,2,Fe,Fe4Al13_slab,8.50658290301393,0.8914149284758978,102.0015561666391,3.1966032582640342,2.5480690954338625,3.910121247894068
1,245,1,Al,Fe4Al13_slab,10.200068371768975,4.1309706729011095,99.58651467841295,3.305097939032736,4.1021010731622445,2.6583294980174985
1,234,1,Al,Fe4Al13_slab,8.554680799573536,3.1483156156863354,101.96464731176036,3.3249878219956988,4.152678964715609,2.629248868045744
1,286,1,Al,Fe4Al13_slab,14.680273598514441,6.130794604478485,102.53327450074016,3.5496299548199084,2.9734125664309126,4.290124415838336
