bin_index,z_lo_A,z_hi_A,z_center_A,frames_present,atom_count_mean,atom_count_std,Al_type_1_mean,Al_type_1_std,Fe_type_2_mean,Fe_type_2_std,Al_slab_atoms_mean,Al_slab_atoms_std,Fe4Al13_slab_atoms_mean,Fe4Al13_slab_atoms_std,sigma_xx_GPa_mean,sigma_xx_GPa_std,sigma_yy_GPa_mean,sigma_yy_GPa_std,sigma_zz_GPa_mean,sigma_zz_GPa_std,sigma_xy_GPa_mean,sigma_xy_GPa_std,sigma_xz_GPa_mean,sigma_xz_GPa_std,sigma_yz_GPa_mean,sigma_yz_GPa_std,hydrostatic_GPa_mean,hydrostatic_GPa_std,mean_pe_atom_eV_mean,mean_pe_atom_eV_std,single_frame_hydrostatic_GPa,single_frame_sigma_zz_GPa,delta_hydrostatic_vs_single_GPa,delta_sigma_zz_vs_single_GPa
0,5.0,10.0,7.5,101,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-5.563999074800521,0.13428346940301555,-5.8916887650381256,0.12912251578060968,-1.158380847084181,0.24532912180357397,-0.6225471463028199,0.016441714173975365,0.33317080077209116,0.15741808403347737,0.12536530612988928,0.13051687492603484,-4.2046895623076095,0.16805629877674869,-3.136774734794908,0.001362718213805917,-3.589880373654241,-0.4808838424391634,-0.6148091886533686,-0.6774970046450176
1,10.0,15.0,12.5,101,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-1.0651724033712564,0.36187452846642104,-1.3796246650720392,0.36921777355077806,-0.24045798929082718,0.7071903144376376,-0.6183735155977181,0.07583664543077051,0.01449655914673188,0.4718312487469385,-0.003668215137611053,0.3099993607991437,-0.8950850192447076,0.4686525704407699,-3.3069299434229134,0.004971420497410486,-0.9099441761490502,-0.1495310299475578,0.014859156904342585,-0.09092695934326939
2,15.0,20.0,17.5,101,30.673267326732674,2.14992516563293,30.673267326732674,2.14992516563293,0.0,0.0,30.673267326732674,2.14992516563293,0.0,0.0,-1.0893211898310002,0.34325042210076295,-1.406527143728583,0.30415093408419375,-0.22737054814127686,0.6826804113522975,-0.6819263955164334,0.10854139711391898,-0.006646082687531898,0.45558250960546737,0.013484670082559653,0.36549864099573787,-0.9077396272336199,0.4219538384075457,-3.3082980264662565,0.004578676773328072,-1.0407648123241084,-0.07740940653600037,0.13302518509048855,-0.1499611416052765
3,20.0,25.0,22.5,101,39.26732673267327,2.111355437196262,39.26732673267327,2.111355437196262,0.0,0.0,39.26732673267327,2.111355437196262,0.0,0.0,-1.4719713281721434,0.4083864451965859,-1.8345467929840118,0.4159073299232296,-0.3327482530205743,0.848939853845519,-0.8649509618386627,0.10230594313653202,-0.009048723782077406,0.5021200710689396,-0.022333136334804753,0.4165822540407078,-1.213088791392243,0.5404927965112908,-3.309141361141639,0.004383410081406542,-1.17774886889057,-0.6031849050606372,-0.03533992250167306,0.27043665204006284
4,25.0,30.0,27.5,101,28.059405940594058,0.2764699686482357,28.059405940594058,0.2764699686482357,0.0,0.0,28.059405940594058,0.2764699686482357,0.0,0.0,-1.0146669051032569,0.3671072708391602,-1.2583021233129499,0.35265627666246535,-0.19280717779966572,0.7114459844726735,-0.6266905591685122,0.08386294606193924,-0.0211338486051884,0.40604433210343416,-0.014925714605773549,0.38418498837952103,-0.8219254020719574,0.46666237364099816,-3.3071582289014616,0.004973629456184824,-0.6343084290937447,-0.0021701321402393873,-0.18761697297821267,-0.19063704565942632
5,30.0,35.0,32.5,101,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-1.069543461341834,0.31847461529448806,-1.3185016174215058,0.2914923391579264,-0.3132684638292142,0.6118025289607423,-0.6244599934971888,0.08248674708571202,-0.02271600021096244,0.4017761394648738,-0.014340485864070171,0.3843161524208372,-0.9004378475308513,0.39295758656113544,-3.299504038189533,0.005787349435327708,-0.9656775119804356,-0.5127189782919068,0.06523966444958429,0.19945051446269263
6,35.0,40.0,37.5,101,27.207920792079207,0.40784388393522136,27.207920792079207,0.40784388393522136,0.0,0.0,27.207920792079207,0.40784388393522136,0.0,0.0,-0.5521376405478857,0.4734545419918208,-1.828437152275074,0.7168618234265947,-0.4519310979047885,0.7950624124106903,-0.786623191656345,0.2653734409280492,0.03897646785740512,0.46701678242284983,-0.11924602185942028,0.3843991072104139,-0.9441686302425827,0.5521259396004592,-3.2902395141180785,0.006572148839008441,-1.9778681353349619,-1.6617834780366467,1.0336995050923792,1.2098523801318581
7,40.0,45.0,42.5,101,29.85148514851485,1.0137666261409615,23.752475247524753,0.8989542879819797,6.099009900990099,0.3001649711425204,0.7920792079207921,0.40784388393522136,29.059405940594058,1.0566151823461352,-2.6392486595109985,0.6478052443607106,0.552536072366202,0.649850291051238,-0.3518168636081032,0.9974201623878601,2.115038677588727,0.4943582664104791,0.20036856749226728,0.8453761411639553,-0.16092567823477408,0.6180840539434974,-0.8128431502509667,0.5294179781358156,-3.552482014326784,0.008908133196142106,-1.2475085858990083,-1.638331281485932,0.4346654356480416,1.286514417877829
8,45.0,50.0,47.5,101,33.94059405940594,1.0566151823461352,24.03960396039604,0.9265073348787685,9.900990099009901,0.3001649711425204,0.0,0.0,33.94059405940594,1.0566151823461352,-1.2934277243195949,0.6530299408299359,0.43821237182771744,0.8162933131616658,0.09020919947169218,1.100208721770654,0.6939703430390352,0.45432503048229506,-0.19755933817291876,0.6893860792979145,0.10152983876002669,0.6701387332728642,-0.2550020510067284,0.6221061308043115,-3.480977947288621,0.009181478582018092,-0.25073244622641233,-1.3583472139160984,-0.004269604780316072,1.4485564133877906
9,50.0,55.0,52.5,101,34.21782178217822,0.9960317303785016,26.534653465346533,0.6567245455385928,7.683168316831683,0.4675616123957768,0.0,0.0,34.21782178217822,0.9960317303785016,-1.2965521720145687,0.5629288656516862,1.1880352925196223,0.6651485450028297,-0.8069769893221431,0.9535920532406464,1.6396819089198664,0.3629100609165221,-0.12398408949477277,0.674236590783679,0.02299547592369921,0.6351243759848201,-0.3051646229390299,0.5322607367631244,-3.546679063391896,0.006918358212642916,-1.7908002323715504,-2.5391540393480017,1.4856356094325205,1.7321770500258586
