bin_index,z_lo_A,z_hi_A,z_center_A,total_atoms,Al_type_1_atoms,Fe_type_2_atoms,Al_slab_atoms,Fe4Al13_slab_atoms,total_number_density_atoms_per_A3,Al_slab_density_atoms_per_A3,Fe4Al13_slab_density_atoms_per_A3,majority_phase,in_interface_window
88,88.0,89.0,88.5,7,6,1,0,7,0.06852203930496925,0.0,0.06852203930496925,Fe4Al13_slab,False
89,89.0,90.0,89.5,5,2,3,0,5,0.048944313789263755,0.0,0.048944313789263755,Fe4Al13_slab,False
90,90.0,91.0,90.5,9,7,2,0,9,0.08809976482067476,0.0,0.08809976482067476,Fe4Al13_slab,False
91,91.0,92.0,91.5,5,5,0,0,5,0.048944313789263755,0.0,0.048944313789263755,Fe4Al13_slab,False
92,92.0,93.0,92.5,8,6,2,0,8,0.07831090206282201,0.0,0.07831090206282201,Fe4Al13_slab,False
93,93.0,94.0,93.5,4,4,0,0,4,0.03915545103141101,0.0,0.03915545103141101,Fe4Al13_slab,False
94,94.0,95.0,94.5,7,3,4,0,7,0.06852203930496925,0.0,0.06852203930496925,Fe4Al13_slab,False
95,95.0,96.0,95.5,7,7,0,0,7,0.06852203930496925,0.0,0.06852203930496925,Fe4Al13_slab,False
96,96.0,97.0,96.5,6,5,1,0,6,0.05873317654711651,0.0,0.05873317654711651,Fe4Al13_slab,False
97,97.0,98.0,97.5,6,3,3,0,6,0.05873317654711651,0.0,0.05873317654711651,Fe4Al13_slab,False
98,98.0,99.0,98.5,8,7,1,0,8,0.07831090206282201,0.0,0.07831090206282201,Fe4Al13_slab,False
99,99.0,100.0,99.5,5,4,1,0,5,0.048944313789263755,0.0,0.048944313789263755,Fe4Al13_slab,False
100,100.0,101.0,100.5,7,5,2,0,7,0.06852203930496925,0.0,0.06852203930496925,Fe4Al13_slab,False
101,101.0,102.0,101.5,5,5,0,0,5,0.048944313789263755,0.0,0.048944313789263755,Fe4Al13_slab,False
102,102.0,103.0,102.5,7,3,4,0,7,0.06852203930496925,0.0,0.06852203930496925,Fe4Al13_slab,False
103,103.0,104.0,103.5,4,4,0,0,4,0.03915545103141101,0.0,0.03915545103141101,Fe4Al13_slab,False
104,104.0,105.0,104.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
105,105.0,106.0,105.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
106,106.0,107.0,106.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
107,107.0,108.0,107.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
108,108.0,109.0,108.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
109,109.0,110.0,109.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
