pair_index,neighbor_atom_id,type,species,phase,x_A,y_A,z_A,distance_to_pair_center_A,distance_to_atom_i_A,distance_to_atom_j_A
1,260,2,Fe,Fe4Al13_slab,10.330422070609135,3.184408504976489,102.41404743019804,1.015068450821977,2.030136901643954,0.0
1,232,1,Al,Fe4Al13_slab,11.003008441802992,4.791573063189035,103.45621128273096,1.0150684508219772,0.0,2.030136901643954
1,302,1,Al,Fe4Al13_slab,9.138702225920971,5.464966569888124,101.63216231060714,2.4927904876195757,2.6937429599252405,2.68932809747988
1,241,1,Al,Fe4Al13_slab,12.539664729457515,2.4433607068802847,103.52809501306776,2.4990858477976206,2.8072372695225467,2.582829259094869
1,261,1,Al,Fe4Al13_slab,12.029012862936856,4.821499337864108,100.69836802558385,2.748398175274848,2.9426654728483794,2.916990382967092
1,236,2,Fe,Fe4Al13_slab,7.506914730499702,0.17872755872070376,102.26043517160682,3.05790059549737,2.4329714352038234,4.126730955166137
1,242,1,Al,Fe4Al13_slab,9.895012169632587,1.1896459121025333,101.70681016982265,3.151987896651505,4.566551782481303,2.160750824658162
1,259,1,Al,Fe4Al13_slab,12.102858023521767,2.080566794490621,100.80375578360795,3.200550832474949,3.949018139507205,2.636860807108233
1,234,1,Al,Fe4Al13_slab,7.794847695531056,2.7422351613286744,101.98856989197961,3.270398320921591,4.079957409308104,2.608770939142357
1,286,1,Al,Fe4Al13_slab,13.776628150620539,5.219604239836287,102.74861035534308,3.3501073494767146,2.8942833395787915,4.016253275875499
1,245,1,Al,Fe4Al13_slab,9.802318690443007,3.3296948025304527,99.7092340028879,3.403958850288588,4.197449542718435,2.7597132033885456
