pair_index,timestep,atom_i,atom_j,classification,distance_A,below_2p1_A,below_1p8_A
1,0,232,260,internal Fe4Al13 pair,2.0267974114104237,True,False
1,100,232,260,internal Fe4Al13 pair,2.121371621286568,False,False
1,200,232,260,internal Fe4Al13 pair,2.0911223326242814,True,False
1,300,232,260,internal Fe4Al13 pair,1.999161872610621,True,False
1,400,232,260,internal Fe4Al13 pair,2.026351488291207,True,False
1,500,232,260,internal Fe4Al13 pair,2.026514790372867,True,False
1,600,232,260,internal Fe4Al13 pair,2.12663311607809,False,False
1,700,232,260,internal Fe4Al13 pair,2.0400647764470556,True,False
1,800,232,260,internal Fe4Al13 pair,2.100589321976101,False,False
1,900,232,260,internal Fe4Al13 pair,2.041844772772895,True,False
1,1000,232,260,internal Fe4Al13 pair,2.0318025838156593,True,False
1,1100,232,260,internal Fe4Al13 pair,2.0838972854725806,True,False
1,1200,232,260,internal Fe4Al13 pair,2.1149533451355396,False,False
1,1300,232,260,internal Fe4Al13 pair,2.0567111930458277,True,False
1,1400,232,260,internal Fe4Al13 pair,2.09699276355451,True,False
1,1500,232,260,internal Fe4Al13 pair,2.0588046853696467,True,False
1,1600,232,260,internal Fe4Al13 pair,2.0717411930306335,True,False
1,1700,232,260,internal Fe4Al13 pair,2.096246106472231,True,False
1,1800,232,260,internal Fe4Al13 pair,2.0933661558599796,True,False
1,1900,232,260,internal Fe4Al13 pair,2.0708136391524925,True,False
1,2000,232,260,internal Fe4Al13 pair,2.012345458811685,True,False
1,2100,232,260,internal Fe4Al13 pair,2.0985762976122633,True,False
1,2200,232,260,internal Fe4Al13 pair,2.096997986551246,True,False
1,2300,232,260,internal Fe4Al13 pair,2.1168834855985845,False,False
1,2400,232,260,internal Fe4Al13 pair,2.1039751857852274,False,False
1,2500,232,260,internal Fe4Al13 pair,2.046271919467207,True,False
1,2600,232,260,internal Fe4Al13 pair,2.1107458004458994,False,False
1,2700,232,260,internal Fe4Al13 pair,2.0659606305300233,True,False
1,2800,232,260,internal Fe4Al13 pair,2.0358330865029166,True,False
1,2900,232,260,internal Fe4Al13 pair,2.0447759917409027,True,False
1,3000,232,260,internal Fe4Al13 pair,2.130749506629064,False,False
1,3100,232,260,internal Fe4Al13 pair,2.139061188091636,False,False
1,3200,232,260,internal Fe4Al13 pair,2.0896147584901836,True,False
1,3300,232,260,internal Fe4Al13 pair,2.118141918380353,False,False
1,3400,232,260,internal Fe4Al13 pair,2.127371057643683,False,False
1,3500,232,260,internal Fe4Al13 pair,2.133120889237177,False,False
1,3600,232,260,internal Fe4Al13 pair,2.07979134924636,True,False
1,3700,232,260,internal Fe4Al13 pair,2.0277491092341804,True,False
1,3800,232,260,internal Fe4Al13 pair,2.112823292208791,False,False
1,3900,232,260,internal Fe4Al13 pair,2.0999464377931125,True,False
1,4000,232,260,internal Fe4Al13 pair,2.0855490419551432,True,False
1,4100,232,260,internal Fe4Al13 pair,2.064684007299907,True,False
1,4200,232,260,internal Fe4Al13 pair,2.1391508993056143,False,False
1,4300,232,260,internal Fe4Al13 pair,2.0875529109701576,True,False
1,4400,232,260,internal Fe4Al13 pair,2.0884044578577234,True,False
1,4500,232,260,internal Fe4Al13 pair,2.053439551313846,True,False
1,4600,232,260,internal Fe4Al13 pair,2.1097784601469396,False,False
1,4700,232,260,internal Fe4Al13 pair,2.0360136948458902,True,False
1,4800,232,260,internal Fe4Al13 pair,2.0553971927829395,True,False
1,4900,232,260,internal Fe4Al13 pair,2.0280744961909125,True,False
1,5000,232,260,internal Fe4Al13 pair,2.0603416050742687,True,False
1,5100,232,260,internal Fe4Al13 pair,2.019437061064299,True,False
1,5200,232,260,internal Fe4Al13 pair,1.975667232329376,True,False
1,5300,232,260,internal Fe4Al13 pair,2.0455839017014226,True,False
1,5400,232,260,internal Fe4Al13 pair,2.0238333237942263,True,False
1,5500,232,260,internal Fe4Al13 pair,2.070280294163085,True,False
1,5600,232,260,internal Fe4Al13 pair,2.1087546783824784,False,False
1,5700,232,260,internal Fe4Al13 pair,2.0643344768956435,True,False
1,5800,232,260,internal Fe4Al13 pair,2.1520347979528602,False,False
1,5900,232,260,internal Fe4Al13 pair,2.124306300630869,False,False
1,6000,232,260,internal Fe4Al13 pair,2.0716316588621626,True,False
1,6100,232,260,internal Fe4Al13 pair,2.133711796119614,False,False
1,6200,232,260,internal Fe4Al13 pair,2.1301197857397645,False,False
1,6300,232,260,internal Fe4Al13 pair,2.073149674022595,True,False
1,6400,232,260,internal Fe4Al13 pair,2.173595794622362,False,False
1,6500,232,260,internal Fe4Al13 pair,2.0898542174036914,True,False
1,6600,232,260,internal Fe4Al13 pair,2.1042113540231644,False,False
1,6700,232,260,internal Fe4Al13 pair,2.0806413358385445,True,False
1,6800,232,260,internal Fe4Al13 pair,2.0322941903425313,True,False
1,6900,232,260,internal Fe4Al13 pair,2.1331352882787344,False,False
1,7000,232,260,internal Fe4Al13 pair,2.0662682517282267,True,False
1,7100,232,260,internal Fe4Al13 pair,2.139443866545692,False,False
1,7200,232,260,internal Fe4Al13 pair,2.0797325770636914,True,False
1,7300,232,260,internal Fe4Al13 pair,2.0629868492067525,True,False
1,7400,232,260,internal Fe4Al13 pair,2.0790959789293035,True,False
1,7500,232,260,internal Fe4Al13 pair,2.077644599059231,True,False
1,7600,232,260,internal Fe4Al13 pair,2.0493628535718167,True,False
1,7700,232,260,internal Fe4Al13 pair,2.0489076376449953,True,False
1,7800,232,260,internal Fe4Al13 pair,2.157584415521211,False,False
1,7900,232,260,internal Fe4Al13 pair,2.0440139843944314,True,False
1,8000,232,260,internal Fe4Al13 pair,2.0364249513547077,True,False
1,8100,232,260,internal Fe4Al13 pair,2.1496700380290954,False,False
1,8200,232,260,internal Fe4Al13 pair,2.042413580179095,True,False
1,8300,232,260,internal Fe4Al13 pair,1.9991144848657412,True,False
1,8400,232,260,internal Fe4Al13 pair,2.0340347623381425,True,False
1,8500,232,260,internal Fe4Al13 pair,2.066051331138697,True,False
1,8600,232,260,internal Fe4Al13 pair,2.1134403232644177,False,False
1,8700,232,260,internal Fe4Al13 pair,1.9975856255990623,True,False
1,8800,232,260,internal Fe4Al13 pair,2.050954913424473,True,False
1,8900,232,260,internal Fe4Al13 pair,2.054741584628098,True,False
1,9000,232,260,internal Fe4Al13 pair,2.057443887472992,True,False
1,9100,232,260,internal Fe4Al13 pair,2.0657693990617663,True,False
1,9200,232,260,internal Fe4Al13 pair,2.0980537408751005,True,False
1,9300,232,260,internal Fe4Al13 pair,2.057113629724912,True,False
1,9400,232,260,internal Fe4Al13 pair,2.056421819107165,True,False
1,9500,232,260,internal Fe4Al13 pair,2.20097559298144,False,False
1,9600,232,260,internal Fe4Al13 pair,2.154576594716469,False,False
1,9700,232,260,internal Fe4Al13 pair,2.1376052203575853,False,False
1,9800,232,260,internal Fe4Al13 pair,2.085055580458226,True,False
1,9900,232,260,internal Fe4Al13 pair,2.041998576615567,True,False
1,10000,232,260,internal Fe4Al13 pair,2.089025754005918,True,False
1,10100,232,260,internal Fe4Al13 pair,2.0792589149983267,True,False
1,10200,232,260,internal Fe4Al13 pair,2.072690825955476,True,False
1,10300,232,260,internal Fe4Al13 pair,2.0730181799492295,True,False
1,10400,232,260,internal Fe4Al13 pair,2.1746682526077405,False,False
1,10500,232,260,internal Fe4Al13 pair,2.09758219138131,True,False
1,10600,232,260,internal Fe4Al13 pair,2.123648792079334,False,False
1,10700,232,260,internal Fe4Al13 pair,2.058628562150056,True,False
1,10800,232,260,internal Fe4Al13 pair,2.08243717093698,True,False
1,10900,232,260,internal Fe4Al13 pair,2.0286630856058916,True,False
1,11000,232,260,internal Fe4Al13 pair,2.039882356142135,True,False
1,11100,232,260,internal Fe4Al13 pair,2.2052571484749808,False,False
1,11200,232,260,internal Fe4Al13 pair,2.092458972692175,True,False
1,11300,232,260,internal Fe4Al13 pair,2.056195032481109,True,False
1,11400,232,260,internal Fe4Al13 pair,2.042456756066088,True,False
1,11500,232,260,internal Fe4Al13 pair,2.0768350099129194,True,False
1,11600,232,260,internal Fe4Al13 pair,2.088958745427967,True,False
1,11700,232,260,internal Fe4Al13 pair,2.0562328428706635,True,False
1,11800,232,260,internal Fe4Al13 pair,2.096300640676336,True,False
1,11900,232,260,internal Fe4Al13 pair,2.069276989578726,True,False
1,12000,232,260,internal Fe4Al13 pair,2.1673882650785044,False,False
1,12100,232,260,internal Fe4Al13 pair,2.060053156692808,True,False
1,12200,232,260,internal Fe4Al13 pair,2.089860531327391,True,False
1,12300,232,260,internal Fe4Al13 pair,2.0871745840729274,True,False
1,12400,232,260,internal Fe4Al13 pair,2.0656184753240394,True,False
1,12500,232,260,internal Fe4Al13 pair,2.012581010270144,True,False
1,12600,232,260,internal Fe4Al13 pair,2.1011383196734035,False,False
1,12700,232,260,internal Fe4Al13 pair,2.1114345125766945,False,False
1,12800,232,260,internal Fe4Al13 pair,2.0111303358062105,True,False
1,12900,232,260,internal Fe4Al13 pair,2.130042137353159,False,False
1,13000,232,260,internal Fe4Al13 pair,2.100124019766453,False,False
1,13100,232,260,internal Fe4Al13 pair,2.032959685015912,True,False
1,13200,232,260,internal Fe4Al13 pair,2.109670661525157,False,False
1,13300,232,260,internal Fe4Al13 pair,2.100599099685612,False,False
1,13400,232,260,internal Fe4Al13 pair,2.006323272157306,True,False
1,13500,232,260,internal Fe4Al13 pair,2.054617662340122,True,False
1,13600,232,260,internal Fe4Al13 pair,2.1179726114612514,False,False
1,13700,232,260,internal Fe4Al13 pair,2.0987231417221284,True,False
1,13800,232,260,internal Fe4Al13 pair,2.0286297130082693,True,False
1,13900,232,260,internal Fe4Al13 pair,2.110272834872305,False,False
1,14000,232,260,internal Fe4Al13 pair,2.064515421691011,True,False
1,14100,232,260,internal Fe4Al13 pair,2.1237256932099338,False,False
1,14200,232,260,internal Fe4Al13 pair,2.1075351777847047,False,False
1,14300,232,260,internal Fe4Al13 pair,1.9823067513379498,True,False
1,14400,232,260,internal Fe4Al13 pair,2.072820483881807,True,False
1,14500,232,260,internal Fe4Al13 pair,2.0837330635424505,True,False
1,14600,232,260,internal Fe4Al13 pair,2.165934793940017,False,False
1,14700,232,260,internal Fe4Al13 pair,2.07575014691075,True,False
1,14800,232,260,internal Fe4Al13 pair,1.9814983011852372,True,False
1,14900,232,260,internal Fe4Al13 pair,2.03029196659003,True,False
1,15000,232,260,internal Fe4Al13 pair,2.023235549806295,True,False
