rank,al_hkl,fe_hkl,al_matrix,fe_matrix,al_det,fe_det,al_len1_A,fe_len1_A,mismatch1_percent,al_len2_A,fe_len2_A,mismatch2_percent,max_len_mismatch_percent,al_angle_deg,fe_angle_deg,angle_delta_deg,al_area_A2,fe_area_A2,area_mismatch_percent,estimated_atoms,score,status
1,(111),(100),"[[-5,-3],[-2,-4]]","[[-2,-1],[-1,-1]]",14,1,15.387497896804543,15.243009382123471,0.9434288068775897,20.355746367237124,20.518146776794502,0.7946412590800234,0.9434288068775897,19.106605350869078,18.99216651066643,0.1144388402026486,102.52662212165589,101.78371208921094,0.7272368627993169,652,1.8193823190712255,reasonable
2,(111),(100),"[[-6,-5],[-2,-4]]","[[-1,-2],[-1,-1]]",14,1,15.387497896804543,15.243009382123471,0.9434288068775897,27.740206334011535,27.161408925798533,2.108489542516987,2.108489542516987,13.897886248013934,14.231571802537184,0.33368555452324955,102.5266221216559,101.78371208921094,0.7272368627993306,652,3.1150649746875394,reasonable
3,(110),(010),"[[-6,-1],[-5,2]]","[[-1,-1],[0,-1]]",17,1,16.704980031947507,16.801682335706975,0.5772123925587948,17.925892563868775,17.71462942192158,1.1855221538642178,1.1855221538642178,42.758884504871276,43.938788754926364,1.1799042500550883,203.30211701125955,206.5261941289576,1.5733794030617718,748,3.1871539524257475,reasonable
4,(100),(010),"[[-4,-4],[-4,2]]","[[-1,0],[0,-1]]",24,1,13.00480931711046,12.940667250724927,0.49443737306448876,16.449927191299203,16.801682335706975,2.115718002294502,2.115718002294502,71.56505117707799,71.78190226445722,0.21685108737922576,202.95007844928367,206.5261941289576,1.7466778512743357,972,3.2249109800265936,reasonable
5,(111),(100),"[[-5,-3],[-2,-4]]","[[-2,1],[-1,1]]",14,1,15.387497896804543,15.04423307335817,2.2559664698858795,20.355746367237124,20.222600590382086,0.6562405166188651,2.2559664698858795,19.106605350869078,19.54565345472671,0.43904810385763327,102.52662212165589,101.78371208921095,0.7272368627993028,652,3.2599712326025947,reasonable
6,(100),(010),"[[-6,0],[-2,-4]]","[[-1,-1],[-1,0]]",24,1,13.00480931711046,12.940667250724927,0.49443737306448876,17.447782600488967,17.71462942192158,1.517795885347903,1.517795885347903,63.43494882292201,64.27930898061642,0.8443601576944104,202.95007844928367,206.5261941289576,1.7466778512743357,972,3.2759954070389954,reasonable
7,(110),(010),"[[-5,-2],[-4,-5]]","[[-1,1],[0,-1]]",17,1,16.704980031947507,16.801682335706975,0.5772123925587948,23.624409320351905,24.20137807753879,2.412793551674313,2.412793551674313,31.00758300686711,30.524366841048703,0.4832161658184084,203.30211701125953,206.5261941289576,1.5733794030617858,748,3.652768276540723,reasonable
8,(110),(010),"[[-6,-1],[-1,-3]]","[[-1,-1],[-1,0]]",17,1,12.675520190733117,12.940667250724927,2.070152403418841,17.925892563868775,17.71462942192158,1.1855221538642178,2.070152403418841,63.47464798339032,64.27930898061642,0.804660997226101,203.30211701125955,206.5261941289576,1.5733794030617718,748,3.878917258098919,reasonable
9,(111),(100),"[[-5,-3],[-3,1]]","[[-2,1],[-1,0]]",14,1,7.6937489484022725,7.866274404095588,2.217547516284668,20.355746367237124,20.222600590382086,0.6562405166188651,2.217547516284668,40.893394649130904,39.77997788127772,1.113416767853181,102.52662212165589,101.78371208921094,0.7272368627993169,652,3.897474916707338,reasonable
10,(110),(100),"[[-4,-6],[-4,-4]]","[[-3,-1],[-2,-1]]",8,1,20.146963962308746,20.518146776794502,1.8255590983984697,27.279118161102158,27.081283302046817,0.7278638631447694,1.8255590983984697,10.024987862075765,10.55486533577092,0.529877473695155,95.67158447588686,101.78371208921091,6.190897605331119,460,3.9633691391846155,reasonable
11,(111),(100),"[[-6,2],[-5,-3]]","[[-2,0],[-2,1]]",28,2,15.387497896804545,15.732548808191176,2.217547516284668,20.355746367237124,20.222600590382086,0.6562405166188651,2.217547516284668,40.893394649130904,39.77997788127772,1.113416767853181,205.05324424331178,203.56742417842187,0.7272368627993169,1304,4.223474916707338,reasonable
12,(111),(100),"[[-6,-2],[-5,3]]","[[-2,-1],[0,-1]]",28,2,12.675520190733115,12.940667250724927,2.0701524034188554,20.969624936403797,20.518146776794502,2.176439663862053,2.176439663862053,50.48466180164345,50.05658146747255,0.4280803341709003,205.05324424331178,203.56742417842187,0.7272368627993169,1304,4.2292621463596785,reasonable
13,(110),(100),"[[-4,-6],[-4,-4]]","[[-3,1],[-2,1]]",8,1,20.146963962308746,20.222600590382086,0.37472104993660976,27.279118161102158,26.745742586658135,1.9745560360972687,1.9745560360972687,10.024987862075765,10.846922676046029,0.8219348139702642,95.67158447588686,101.78371208921091,6.190897605331119,460,4.299912186800132,reasonable
14,(111),(100),"[[-4,-2],[-1,3]]","[[-1,0],[-1,1]]",14,1,7.693748948402272,7.866274404095588,2.21754751628468,15.387497896804545,15.04423307335817,2.2559664698858906,2.2559664698858906,59.999999999999986,59.32563133600442,0.6743686639955655,102.52662212165589,101.78371208921094,0.7272368627993169,652,4.3091847631236355,reasonable
15,(111),(100),"[[-6,1],[-4,-4]]","[[-2,-1],[-2,0]]",28,2,16.190857028901362,15.732548808191176,2.8712990277351165,20.146963962308746,20.518146776794502,1.8255590983984697,2.8712990277351165,38.94827556462707,39.096235869528456,0.1479603049013889,205.05324424331178,203.56742417842187,0.7272368627993169,1304,4.347910304707565,reasonable
16,(111),(001),"[[-5,-4],[-2,-5]]","[[-2,-1],[-1,-1]]",17,1,18.16022790275733,18.54145616100567,2.0774428638534324,22.711923066793116,23.000678464602757,1.2633514091790257,2.0774428638534324,17.568382756329108,18.053863315394587,0.48548055906547916,124.4966125762964,132.16650043588805,5.976618743206426,748,4.4862289180227375,reasonable
17,(111),(100),"[[-6,-5],[-2,3]]","[[-1,0],[-1,2]]",28,2,7.6937489484022725,7.866274404095588,2.217547516284668,27.740206334011535,26.938844858651372,2.93114623564534,2.93114623564534,73.89788624801399,73.87107087236882,0.026815375645171002,205.05324424331178,203.56742417842187,0.7272368627993169,1304,4.4997403010841355,reasonable
18,(100),(010),"[[-6,0],[-4,-4]]","[[-1,-1],[0,-1]]",24,1,16.449927191299203,16.801682335706975,2.115718002294502,17.447782600488967,17.71462942192158,1.517795885347903,2.115718002294502,45.00000000000001,43.938788754926364,1.0612112450736433,202.95007844928367,206.5261941289576,1.7466778512743357,972,4.500383794636559,reasonable
19,(111),(100),"[[-6,1],[-4,-4]]","[[-2,0],[-2,1]]",28,2,16.190857028901362,15.732548808191176,2.8712990277351165,20.146963962308746,20.222600590382086,0.37472104993660976,2.8712990277351165,38.94827556462707,39.77997788127772,0.8317023166506559,205.05324424331178,203.56742417842187,0.7272368627993169,1304,4.52479710765397,reasonable
20,(100),(001),"[[-6,-2],[-4,-4]]","[[-1,-1],[0,-1]]",16,1,16.449927191299203,16.801682335706975,2.115718002294502,18.391577712333604,18.54145616100567,0.8116227287802542,2.115718002294502,26.565051177078008,25.103381294499172,1.4616698825788355,135.30005229952243,132.16650043588803,2.3431354923351893,716,4.55434952216352,reasonable
21,(111),(001),"[[-5,-4],[-2,-5]]","[[-2,1],[-1,1]]",17,1,18.16022790275733,18.562435401923405,2.190513775262092,22.711923066793116,23.034496582131105,1.4102678103053474,2.190513775262092,17.568382756329108,18.00537396116304,0.4369912048339337,124.4966125762964,132.166500435888,5.976618743206384,748,4.6115416031923555,reasonable
22,(111),(100),"[[-4,-2],[-1,-4]]","[[-1,-1],[0,-1]]",14,1,13.325964079312355,12.940667250724927,2.933736144130679,15.387497896804545,15.243009382123471,0.9434288068776013,2.933736144130679,30.000000000000018,31.0644149568061,1.0644149568060826,102.52662212165589,101.78371208921094,0.7272368627993169,652,4.6175608345778425,reasonable
