scenario,run_folder,steps,force_eV_A,ERROR,nan,lost_atoms,dangerous_builds,final_temp,last20_mean_temp,mean_pressure_bar,pairs_below_1p8,cross_slab_AlFe_below_2p1,warning_pair_min_distance_A,warning_pair_mean_distance_A,warning_pair_frames_below_2p1,warning_pair_frames_below_1p8,warning_pair_monotonic_collapse,visual_review_status,verdict
0 MPa control,lammps/03_interface_stress/stress_000mpa/run_001_control,NA,0,false,false,false,NA,NA,NA,NA,0,0,NA,NA,NA,0,false,passed,baseline passed
60 MPa compression-ramp,lammps/03_interface_stress/stress_060mpa/run_001_compression_ramp,NA,-0.0007357076524527927,false,false,false,0/0,NA,NA,NA,0,0,1.95964,2.08611,NA,0,false,passed,controlled sanity-run passed
120 MPa compression-ramp,lammps/03_interface_stress/stress_120mpa/run_001_compression_ramp,15000,-0.0014714153049055854,false,false,false,0/0,293.65646,297.48696,-4445.450711881188,0,0,1.975667232329376,2.0787887651533237,106,0,false,passed,controlled sanity-run passed
147 MPa compression-ramp,lammps/03_interface_stress/stress_147mpa/run_001_compression_ramp,15000,-0.001802483748509342,false,false,false,0/0,294.48127,302.107156,-4278.0545207920795,0,0,1.9561508179330207,2.0731584728332924,104,0,false,manual_OVITO_review_passed,controlled sanity-run passed after OVITO review
200 MPa compression-ramp,lammps/03_interface_stress/stress_200mpa/run_001_compression_ramp,15000,-0.002452358841509309,false,false,false,0/0,290.91567,284.339429,-4231.104765,0,0,1.9125535128722528,2.0796892514178826,99,0,false,manual_OVITO_review_passed,controlled upper-bound run passed after OVITO review
