bin_index,z_lo_A,z_hi_A,z_center_A,frames_present,atom_count_mean,atom_count_std,Al_type_1_mean,Al_type_1_std,Fe_type_2_mean,Fe_type_2_std,Al_slab_atoms_mean,Al_slab_atoms_std,Fe4Al13_slab_atoms_mean,Fe4Al13_slab_atoms_std,sigma_xx_GPa_mean,sigma_xx_GPa_std,sigma_yy_GPa_mean,sigma_yy_GPa_std,sigma_zz_GPa_mean,sigma_zz_GPa_std,sigma_xy_GPa_mean,sigma_xy_GPa_std,sigma_xz_GPa_mean,sigma_xz_GPa_std,sigma_yz_GPa_mean,sigma_yz_GPa_std,hydrostatic_GPa_mean,hydrostatic_GPa_std,mean_pe_atom_eV_mean,mean_pe_atom_eV_std,single_frame_hydrostatic_GPa,single_frame_sigma_zz_GPa,delta_hydrostatic_vs_single_GPa,delta_sigma_zz_vs_single_GPa
0,5.0,10.0,7.5,151,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-5.55513640260836,0.15185728897798445,-5.877642295987913,0.15109101956742912,-1.150915992994102,0.2901899391585345,-0.6198763111473807,0.017149920951530326,0.3320275696191701,0.13655314562327558,0.12733626880545748,0.13583787171621525,-4.194564897196792,0.1964994608243806,-3.1368173509933777,0.001424597787465055,-3.589880373654241,-0.4808838424391634,-0.6046845235425513,-0.6700321505549386
1,10.0,15.0,12.5,151,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-1.0322494117268466,0.386140966122968,-1.3498122387015548,0.37961735438709976,-0.14079687021199783,0.7797427836557743,-0.6136691976581535,0.08043723326368449,-0.013923905831968333,0.3844229042424018,0.004951455848930784,0.383217189823203,-0.8409528402134664,0.5061335219395552,-3.3091800851466417,0.005194190845745058,-0.9099441761490502,-0.1495310299475578,0.06899133593558382,0.008734159735559965
2,15.0,20.0,17.5,151,31.70198675496689,2.6552958453795816,31.70198675496689,2.6552958453795816,0.0,0.0,31.70198675496689,2.6552958453795816,0.0,0.0,-1.0909544969670608,0.3858365857358012,-1.3829021894063005,0.3581548390098611,-0.14441328688913996,0.8057775073543805,-0.6996146587240762,0.10836966062822166,-0.020336489888128147,0.43444345441809756,-0.010059589742776678,0.3765375658977078,-0.8727566577541671,0.49468822497356374,-3.3103622280703386,0.0054976203180550015,-1.0407648123241084,-0.07740940653600037,0.16800815456994134,-0.06700388035313959
3,20.0,25.0,22.5,151,38.271523178807946,2.6304214487021835,38.271523178807946,2.6304214487021835,0.0,0.0,38.271523178807946,2.6304214487021835,0.0,0.0,-1.3608653084296154,0.446408038845579,-1.7106357193542532,0.47528921475502023,-0.16304422019659146,0.9156761517322073,-0.8590268837028905,0.10161336544663746,-0.014986930690107461,0.44862523523715436,0.009476310026764363,0.4590598064457648,-1.07818174932682,0.59457066595425,-3.311238241631527,0.004688961759013756,-1.17774886889057,-0.6031849050606372,0.09956711956374997,0.4401406848640457
4,25.0,30.0,27.5,151,28.026490066225165,0.1611218945415621,28.026490066225165,0.1611218945415621,0.0,0.0,28.026490066225165,0.1611218945415621,0.0,0.0,-0.9717126345557106,0.3985792320861161,-1.251651127144112,0.3983106081892759,-0.15831780565956075,0.8379612582243725,-0.6418122579887475,0.075553839185964,0.002559943783083896,0.38666984980193203,-0.0021587373951888165,0.40228217310873965,-0.7938938557864611,0.5349624222922759,-3.3090724451114086,0.006405076347897788,-0.6343084290937447,-0.0021701321402393873,-0.15958542669271636,-0.15614767351932135
5,30.0,35.0,32.5,151,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-0.9854416214280212,0.4207697484342799,-1.272190905548917,0.42076869140924966,-0.18670458019409328,0.8137782428206796,-0.6226534612949446,0.08610399314075516,-0.007329920977245166,0.3464835937667427,-0.014586792192108603,0.3638067814594273,-0.8147790357236772,0.536873917450782,-3.3018818235572374,0.006643003315743561,-0.9656775119804356,-0.5127189782919068,0.15089847625675845,0.3260143980978135
6,35.0,40.0,37.5,151,27.344370860927153,0.47674392309909996,27.344370860927153,0.47674392309909996,0.0,0.0,27.344370860927153,0.47674392309909996,0.0,0.0,-0.480930558269985,0.5786373744449435,-1.5180751082570243,0.7168865860051662,-0.36639026326737195,0.8056096116124437,-0.809228905985784,0.25491585655620336,0.0355998923480416,0.438754267350119,-0.08175150153866788,0.34293530452634535,-0.7884653099314605,0.5871486727070481,-3.288078332019342,0.009187376614815822,-1.9778681353349619,-1.6617834780366467,1.1894028254035014,1.2953932147692748
7,40.0,45.0,42.5,151,30.278145695364238,1.474941537360497,24.026490066225165,1.182917409726476,6.251655629139073,0.4928629700888151,0.6556291390728477,0.47674392309909996,29.62251655629139,1.4502492744550486,-2.734475324671196,0.7442165274947351,0.4640684830631138,0.85395615129487,-0.18981396938461176,1.2276290913204202,2.140184900873613,0.5749194537628045,0.06676105651665791,0.7656699704455768,-0.10696792206337409,0.7035023966868882,-0.8200736036642313,0.6678377594763806,-3.5504184659951683,0.011433975200126085,-1.2475085858990083,-1.638331281485932,0.42743498223477694,1.4485173121013204
8,45.0,50.0,47.5,151,33.43046357615894,1.4583549351916332,23.68211920529801,1.145256075744066,9.748344370860927,0.4928629700888151,0.0,0.0,33.43046357615894,1.4583549351916332,-1.1595970002393945,0.6746068296348068,0.1148809606963946,0.9802447454509726,0.09476575876614696,1.159298432426738,0.6770377476268832,0.620776732319342,-0.14207624577535566,0.7818706691997991,0.02969896116332855,0.673217282611537,-0.3166500935922843,0.7075631059885067,-3.4800094300244417,0.01019780987524651,-0.25073244622641233,-1.3583472139160984,-0.06591764736587197,1.4531129726822454
9,50.0,55.0,52.5,151,34.48344370860927,0.6817067271269622,26.67549668874172,0.49732174527391804,7.80794701986755,0.39522536673109215,0.0,0.0,34.48344370860927,0.6817067271269622,-1.3252726309635179,0.6856525887485493,1.1140462693400612,0.6518742349784903,-0.7750811090075903,1.1018870990666567,1.5848411526221882,0.3972950880490488,-0.04966507333961065,0.7519945250221889,0.03718171564818676,0.7371218645044032,-0.3287691568770156,0.6164732094361357,-3.54303560085836,0.007543565350581795,-1.7908002323715504,-2.5391540393480017,1.4620310754945347,1.7640729303404115
