bin_index,z_lo_A,z_hi_A,z_center_A,atom_count,Al_slab_atoms,Fe4Al13_slab_atoms,sigma_xx_GPa,sigma_yy_GPa,sigma_zz_GPa,sigma_xy_GPa,sigma_xz_GPa,sigma_yz_GPa,hydrostatic_GPa,mean_pe_atom_eV
0,5.0,10.0,7.5,28,28,0,-4.966623243301539,-5.322134035222018,-0.4808838424391634,-0.6588426382419895,-0.1054636450506094,0.26108216513893046,-3.589880373654241,-3.130318928571429
1,10.0,15.0,12.5,28,28,0,-1.2259742944722147,-1.354327204027378,-0.1495310299475578,-0.7042067733661962,0.5336436004210064,-0.41939498160158567,-0.9099441761490502,-3.310541785714286
2,15.0,20.0,17.5,40,40,0,-1.3402892759078162,-1.7045957545285089,-0.07740940653600037,-0.8707394270996088,0.012314266597039736,0.8392450063195603,-1.0407648123241084,-3.313969
3,20.0,25.0,22.5,30,30,0,-1.3373738510815545,-1.5926878505295181,-0.6031849050606372,-0.8009691531289818,-0.3497142111186988,0.7023860860064592,-1.17774886889057,-3.308665
4,25.0,30.0,27.5,28,28,0,-0.8776236112447355,-1.0231315438962594,-0.0021701321402393873,-0.6669976791146076,-0.25672844117215954,-0.09133186131492535,-0.6343084290937447,-3.303202857142857
5,30.0,35.0,32.5,28,28,0,-0.8781976810589426,-1.5061158765904576,-0.5127189782919068,-0.647770788397916,-0.32494519521429976,0.7189101150939035,-0.9656775119804356,-3.300813928571429
6,35.0,40.0,37.5,28,28,0,-1.5859041099051499,-2.6859168180630895,-1.6617834780366467,-0.5018413982181257,-0.47795660441332566,0.21756933889493996,-1.9778681353349619,-3.268929285714286
7,40.0,45.0,42.5,29,0,29,-2.2954818208271446,0.19128734461605182,-1.638331281485932,1.0726361526120571,-0.1398424208065259,-0.5381659277599186,-1.2475085858990083,-3.5351996551724145
8,45.0,50.0,47.5,34,0,34,-0.9822702856406648,1.5884201608775261,-1.3583472139160984,1.7215201676804743,-0.9347897788104849,0.45801272452839015,-0.25073244622641233,-3.478696176470588
9,50.0,55.0,52.5,35,0,35,-1.7398445878996136,-1.0934020698670361,-2.5391540393480017,1.1919766108900967,-0.9802145853060648,0.008922705025586872,-1.7908002323715504,-3.5411802857142862
10,55.0,60.0,57.5,30,0,30,-1.234778229268188,0.5410144163426419,-0.36215091426600965,0.6880728480796054,0.5999505688745875,-0.20243099968399925,-0.35197157573051857,-3.5383476666666667
11,60.0,65.0,62.5,30,0,30,-1.3124188095870777,1.0967430439661972,1.090805511371794,0.8326125721468399,-0.5253454170082803,0.31197295121659707,0.2917099152503045,-3.530183333333334
12,65.0,70.0,67.5,34,0,34,-1.5571480725795241,0.8419704312774646,-0.8044133253348813,1.5914917280494154,1.0210128424409497,0.43450419894582176,-0.5065303222123135,-3.5308294117647065
13,70.0,75.0,72.5,33,0,33,-1.9619082090416649,-1.2653842441886947,-0.5883584409749342,-0.5066820887405115,0.0538162503615726,-0.5529780452883636,-1.2718836314017645,-3.5118775757575755
14,75.0,80.0,77.5,31,0,31,-1.7337380212231077,0.5082688614357866,-1.1427350210855125,1.8632382540155308,-0.046670560663414865,0.28661159752231247,-0.7894013936242779,-3.536482258064516
15,80.0,85.0,82.5,31,0,31,-1.5982865318506956,0.9493356960473204,-0.5604814826804151,1.9791542666039006,1.2755918177199244,0.18390677115601933,-0.40314410616126345,-3.538683548387097
16,85.0,90.0,87.5,31,0,31,-1.8226778270902106,-0.2897560073417506,-0.5363883113963162,0.5090930269045939,-0.09784314852215448,0.5187059642209626,-0.8829407152760925,-3.4823454838709678
17,90.0,95.0,92.5,35,0,35,-1.353045409224641,0.8454946744229507,-1.0367536861546363,1.2326060218890436,1.6089840653717715,0.27122747954524773,-0.5147681403187755,-3.5482279999999995
18,95.0,100.0,97.5,30,0,30,-1.2503705563561123,0.5307981268080126,-0.39175666990778524,0.5806214961351119,0.20823220278677382,1.11970298210209,-0.37044303315196164,-3.529322333333333
19,100.0,105.0,102.5,25,0,25,-2.0318172127330683,-1.391424172729393,0.6740671390229248,1.5537352247344502,0.7758482295662105,0.03421832650645252,-0.9163914154798455,-3.2813655999999995
