pair_index,timestep,atom_i,atom_j,classification,distance_A,below_2p1_A,below_1p8_A
1,0,232,260,internal Fe4Al13 pair,2.0267974114104237,True,False
1,100,232,260,internal Fe4Al13 pair,2.121371621286568,False,False
1,200,232,260,internal Fe4Al13 pair,2.0911223326242814,True,False
1,300,232,260,internal Fe4Al13 pair,1.999161872610621,True,False
1,400,232,260,internal Fe4Al13 pair,2.026351488291207,True,False
1,500,232,260,internal Fe4Al13 pair,2.026514790372867,True,False
1,600,232,260,internal Fe4Al13 pair,2.12663311607809,False,False
1,700,232,260,internal Fe4Al13 pair,2.0400647764470556,True,False
1,800,232,260,internal Fe4Al13 pair,2.100589321976101,False,False
1,900,232,260,internal Fe4Al13 pair,2.041844772772895,True,False
1,1000,232,260,internal Fe4Al13 pair,2.0318025838156597,True,False
1,1100,232,260,internal Fe4Al13 pair,2.0838899870434595,True,False
1,1200,232,260,internal Fe4Al13 pair,2.1144433352776333,False,False
1,1300,232,260,internal Fe4Al13 pair,2.05710781691189,True,False
1,1400,232,260,internal Fe4Al13 pair,2.0976000587337884,True,False
1,1500,232,260,internal Fe4Al13 pair,2.059240819428361,True,False
1,1600,232,260,internal Fe4Al13 pair,2.0723138547285727,True,False
1,1700,232,260,internal Fe4Al13 pair,2.096457266533238,True,False
1,1800,232,260,internal Fe4Al13 pair,2.093621299304149,True,False
1,1900,232,260,internal Fe4Al13 pair,2.0714486338067886,True,False
1,2000,232,260,internal Fe4Al13 pair,2.0093032129571675,True,False
1,2100,232,260,internal Fe4Al13 pair,2.100726189892437,False,False
1,2200,232,260,internal Fe4Al13 pair,2.0970017423931724,True,False
1,2300,232,260,internal Fe4Al13 pair,2.130490105140125,False,False
1,2400,232,260,internal Fe4Al13 pair,2.082754526678552,True,False
1,2500,232,260,internal Fe4Al13 pair,2.059210795329125,True,False
1,2600,232,260,internal Fe4Al13 pair,2.108804768701931,False,False
1,2700,232,260,internal Fe4Al13 pair,2.0718009933630217,True,False
1,2800,232,260,internal Fe4Al13 pair,2.0364343108728113,True,False
1,2900,232,260,internal Fe4Al13 pair,2.023933723247873,True,False
1,3000,232,260,internal Fe4Al13 pair,2.124245983967014,False,False
1,3100,232,260,internal Fe4Al13 pair,2.13913014856507,False,False
1,3200,232,260,internal Fe4Al13 pair,2.1034241774782396,False,False
1,3300,232,260,internal Fe4Al13 pair,2.106286119595343,False,False
1,3400,232,260,internal Fe4Al13 pair,2.171341903731423,False,False
1,3500,232,260,internal Fe4Al13 pair,2.1390136048188175,False,False
1,3600,232,260,internal Fe4Al13 pair,2.0917944282361938,True,False
1,3700,232,260,internal Fe4Al13 pair,1.9682945460728172,True,False
1,3800,232,260,internal Fe4Al13 pair,2.104774777998825,False,False
1,3900,232,260,internal Fe4Al13 pair,2.1437887134930067,False,False
1,4000,232,260,internal Fe4Al13 pair,2.10740185225789,False,False
1,4100,232,260,internal Fe4Al13 pair,2.0472217358166174,True,False
1,4200,232,260,internal Fe4Al13 pair,2.1824005614002253,False,False
1,4300,232,260,internal Fe4Al13 pair,2.069174019772142,True,False
1,4400,232,260,internal Fe4Al13 pair,2.1400323123962393,False,False
1,4500,232,260,internal Fe4Al13 pair,2.0555319425637713,True,False
1,4600,232,260,internal Fe4Al13 pair,2.0975075613689715,True,False
1,4700,232,260,internal Fe4Al13 pair,2.0326641360785587,True,False
1,4800,232,260,internal Fe4Al13 pair,2.0825402430925584,True,False
1,4900,232,260,internal Fe4Al13 pair,2.1572731683539765,False,False
1,5000,232,260,internal Fe4Al13 pair,2.022186143855214,True,False
1,5100,232,260,internal Fe4Al13 pair,2.0776990655289835,True,False
1,5200,232,260,internal Fe4Al13 pair,2.0702349196407632,True,False
1,5300,232,260,internal Fe4Al13 pair,2.0185687658586193,True,False
1,5400,232,260,internal Fe4Al13 pair,2.125060007529199,False,False
1,5500,232,260,internal Fe4Al13 pair,2.0829418738889505,True,False
1,5600,232,260,internal Fe4Al13 pair,2.0007252041447394,True,False
1,5700,232,260,internal Fe4Al13 pair,2.054155884274606,True,False
1,5800,232,260,internal Fe4Al13 pair,2.1213424599531328,False,False
1,5900,232,260,internal Fe4Al13 pair,2.0914809414383853,True,False
1,6000,232,260,internal Fe4Al13 pair,2.1447665462935577,False,False
1,6100,232,260,internal Fe4Al13 pair,2.0674021046956517,True,False
1,6200,232,260,internal Fe4Al13 pair,2.095883823116158,True,False
1,6300,232,260,internal Fe4Al13 pair,2.073943302021541,True,False
1,6400,232,260,internal Fe4Al13 pair,2.1075202724766346,False,False
1,6500,232,260,internal Fe4Al13 pair,2.031406935205254,True,False
1,6600,232,260,internal Fe4Al13 pair,2.04636190447829,True,False
1,6700,232,260,internal Fe4Al13 pair,2.151058292306368,False,False
1,6800,232,260,internal Fe4Al13 pair,1.9909752674505994,True,False
1,6900,232,260,internal Fe4Al13 pair,2.0779229723211645,True,False
1,7000,232,260,internal Fe4Al13 pair,2.170315285413618,False,False
1,7100,232,260,internal Fe4Al13 pair,2.131595927937563,False,False
1,7200,232,260,internal Fe4Al13 pair,2.004835805471361,True,False
1,7300,232,260,internal Fe4Al13 pair,2.1014347201138612,False,False
1,7400,232,260,internal Fe4Al13 pair,2.1316203240962057,False,False
1,7500,232,260,internal Fe4Al13 pair,1.9890261862529575,True,False
1,7600,232,260,internal Fe4Al13 pair,1.9954837389715812,True,False
1,7700,232,260,internal Fe4Al13 pair,2.006487275339664,True,False
1,7800,232,260,internal Fe4Al13 pair,2.1304547384068035,False,False
1,7900,232,260,internal Fe4Al13 pair,2.010790581462925,True,False
1,8000,232,260,internal Fe4Al13 pair,2.0188434158200605,True,False
1,8100,232,260,internal Fe4Al13 pair,2.068559684804863,True,False
1,8200,232,260,internal Fe4Al13 pair,2.03948524495766,True,False
1,8300,232,260,internal Fe4Al13 pair,2.073638256808547,True,False
1,8400,232,260,internal Fe4Al13 pair,2.0467316058535867,True,False
1,8500,232,260,internal Fe4Al13 pair,2.0957540578273965,True,False
1,8600,232,260,internal Fe4Al13 pair,2.0465524694959574,True,False
1,8700,232,260,internal Fe4Al13 pair,2.1235181431059145,False,False
1,8800,232,260,internal Fe4Al13 pair,2.1088756868293577,False,False
1,8900,232,260,internal Fe4Al13 pair,2.0754443958824864,True,False
1,9000,232,260,internal Fe4Al13 pair,2.0853671796832276,True,False
1,9100,232,260,internal Fe4Al13 pair,2.0113088750612125,True,False
1,9200,232,260,internal Fe4Al13 pair,2.112579160741673,False,False
1,9300,232,260,internal Fe4Al13 pair,2.038456076078168,True,False
1,9400,232,260,internal Fe4Al13 pair,2.0780618860852105,True,False
1,9500,232,260,internal Fe4Al13 pair,2.12805286233683,False,False
1,9600,232,260,internal Fe4Al13 pair,2.0891189481692995,True,False
1,9700,232,260,internal Fe4Al13 pair,2.074910904014916,True,False
1,9800,232,260,internal Fe4Al13 pair,2.0507188527197004,True,False
1,9900,232,260,internal Fe4Al13 pair,2.1277217473391583,False,False
1,10000,232,260,internal Fe4Al13 pair,2.016075830642293,True,False
1,10100,232,260,internal Fe4Al13 pair,2.097528156283004,True,False
1,10200,232,260,internal Fe4Al13 pair,2.1338257944124734,False,False
1,10300,232,260,internal Fe4Al13 pair,2.125677715482754,False,False
1,10400,232,260,internal Fe4Al13 pair,1.9125535128722528,True,False
1,10500,232,260,internal Fe4Al13 pair,2.0277621341025185,True,False
1,10600,232,260,internal Fe4Al13 pair,2.0242302942353154,True,False
1,10700,232,260,internal Fe4Al13 pair,2.1886540293294474,False,False
1,10800,232,260,internal Fe4Al13 pair,2.177562061480678,False,False
1,10900,232,260,internal Fe4Al13 pair,1.9966771205179876,True,False
1,11000,232,260,internal Fe4Al13 pair,2.080123568949688,True,False
1,11100,232,260,internal Fe4Al13 pair,2.0943413391565358,True,False
1,11200,232,260,internal Fe4Al13 pair,2.0052455374841296,True,False
1,11300,232,260,internal Fe4Al13 pair,2.1351383239734147,False,False
1,11400,232,260,internal Fe4Al13 pair,2.097822396224233,True,False
1,11500,232,260,internal Fe4Al13 pair,2.100015926344366,False,False
1,11600,232,260,internal Fe4Al13 pair,2.0833154200936574,True,False
1,11700,232,260,internal Fe4Al13 pair,2.178768441780817,False,False
1,11800,232,260,internal Fe4Al13 pair,2.007232685465239,True,False
1,11900,232,260,internal Fe4Al13 pair,2.054326022543647,True,False
1,12000,232,260,internal Fe4Al13 pair,2.046084967175115,True,False
1,12100,232,260,internal Fe4Al13 pair,2.1112213953065195,False,False
1,12200,232,260,internal Fe4Al13 pair,2.0660004763794233,True,False
1,12300,232,260,internal Fe4Al13 pair,2.233676904232127,False,False
1,12400,232,260,internal Fe4Al13 pair,2.1291941481227097,False,False
1,12500,232,260,internal Fe4Al13 pair,2.025317450203798,True,False
1,12600,232,260,internal Fe4Al13 pair,2.0557404991875816,True,False
1,12700,232,260,internal Fe4Al13 pair,2.012054465366187,True,False
1,12800,232,260,internal Fe4Al13 pair,2.0958421067437283,True,False
1,12900,232,260,internal Fe4Al13 pair,2.170312993556458,False,False
1,13000,232,260,internal Fe4Al13 pair,2.138365078488707,False,False
1,13100,232,260,internal Fe4Al13 pair,2.0985258959803224,True,False
1,13200,232,260,internal Fe4Al13 pair,2.051702942655196,True,False
1,13300,232,260,internal Fe4Al13 pair,2.253719633494813,False,False
1,13400,232,260,internal Fe4Al13 pair,2.0470414382957616,True,False
1,13500,232,260,internal Fe4Al13 pair,2.109223617092318,False,False
1,13600,232,260,internal Fe4Al13 pair,2.092835357236685,True,False
1,13700,232,260,internal Fe4Al13 pair,2.0655664900699806,True,False
1,13800,232,260,internal Fe4Al13 pair,2.0838011384006907,True,False
1,13900,232,260,internal Fe4Al13 pair,2.0734436174875834,True,False
1,14000,232,260,internal Fe4Al13 pair,2.0044465976672963,True,False
1,14100,232,260,internal Fe4Al13 pair,1.9519538806283272,True,False
1,14200,232,260,internal Fe4Al13 pair,2.054180781747312,True,False
1,14300,232,260,internal Fe4Al13 pair,2.100752057740268,False,False
1,14400,232,260,internal Fe4Al13 pair,2.1299814113038607,False,False
1,14500,232,260,internal Fe4Al13 pair,2.0822578348754055,True,False
1,14600,232,260,internal Fe4Al13 pair,2.1194396939757474,False,False
1,14700,232,260,internal Fe4Al13 pair,2.073217216043704,True,False
1,14800,232,260,internal Fe4Al13 pair,2.156299012683538,False,False
1,14900,232,260,internal Fe4Al13 pair,2.060587284149839,True,False
1,15000,232,260,internal Fe4Al13 pair,2.023354077787673,True,False
