bin_index,z_lo_A,z_hi_A,z_center_A,frames_present,atom_count_mean,atom_count_std,Al_type_1_mean,Al_type_1_std,Fe_type_2_mean,Fe_type_2_std,Al_slab_atoms_mean,Al_slab_atoms_std,Fe4Al13_slab_atoms_mean,Fe4Al13_slab_atoms_std,sigma_xx_GPa_mean,sigma_xx_GPa_std,sigma_yy_GPa_mean,sigma_yy_GPa_std,sigma_zz_GPa_mean,sigma_zz_GPa_std,sigma_xy_GPa_mean,sigma_xy_GPa_std,sigma_xz_GPa_mean,sigma_xz_GPa_std,sigma_yz_GPa_mean,sigma_yz_GPa_std,hydrostatic_GPa_mean,hydrostatic_GPa_std,mean_pe_atom_eV_mean,mean_pe_atom_eV_std,single_frame_hydrostatic_GPa,single_frame_sigma_zz_GPa,delta_hydrostatic_vs_single_GPa,delta_sigma_zz_vs_single_GPa
0,5.0,10.0,7.5,151,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-5.539725529606586,0.15159361268190283,-5.868351773636457,0.14886312081265582,-1.1311063827283305,0.2924112622557837,-0.6199799865899248,0.0164870593177722,0.33902017241805293,0.13988408799968577,0.12973787808463935,0.13897100669095153,-4.179727895323791,0.19629473031193553,-3.1368614025543993,0.0014709985913015724,-3.589880373654241,-0.4808838424391634,-0.58984752166955,-0.6502225402891672
1,10.0,15.0,12.5,151,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-1.0048638808440107,0.40015051596875145,-1.3312616448208026,0.39192720774020234,-0.10919270281886762,0.8067074174352387,-0.6196245525396414,0.07360607750887191,0.0216203185902794,0.3744662112345695,0.017152025262327085,0.349805066038758,-0.815106076161227,0.5242090012949585,-3.308705515610218,0.006070278810130068,-0.9099441761490502,-0.1495310299475578,0.09483809998782322,0.04033832712869018
2,15.0,20.0,17.5,151,31.70860927152318,2.472756637098254,31.70860927152318,2.472756637098254,0.0,0.0,31.70860927152318,2.472756637098254,0.0,0.0,-1.0409345503507752,0.3968662079033943,-1.3750504951284492,0.36412873049808964,-0.09077342591282425,0.7759197640741221,-0.6930174098687251,0.09726792534852652,0.01942917096412907,0.38259245770319694,0.019101731183946032,0.3874245952097139,-0.8355861571306828,0.49182000185077135,-3.3089480917046044,0.004513972674879709,-1.0407648123241084,-0.07740940653600037,0.2051786551934256,-0.013364019376823882
3,20.0,25.0,22.5,151,38.2317880794702,2.4343204626322903,38.2317880794702,2.4343204626322903,0.0,0.0,38.2317880794702,2.4343204626322903,0.0,0.0,-1.2707708731971057,0.4816004169369035,-1.6434342811465958,0.4976579644346705,-0.15285199447806752,0.9947128650562224,-0.8634987078481184,0.11798414837131678,0.004202554288743498,0.4254861528741818,0.012194002072243719,0.4508286216164966,-1.0223523829405896,0.6409599677490873,-3.3078525792100444,0.0046301682063032675,-1.17774886889057,-0.6031849050606372,0.15539648594998035,0.45033291058256963
4,25.0,30.0,27.5,151,28.05960264900662,0.23753703092276507,28.05960264900662,0.23753703092276507,0.0,0.0,28.05960264900662,0.23753703092276507,0.0,0.0,-0.9189878713968817,0.396928668936082,-1.2441370644456697,0.39682859298282436,-0.10358453488389746,0.8235717867879402,-0.6312775492232466,0.07914570260280197,0.01299125062722171,0.3659551530784764,-0.0037927770112195394,0.40305254816147934,-0.755569823575483,0.5290866497032922,-3.3078235095259845,0.005871439489661733,-0.6343084290937447,-0.0021701321402393873,-0.12126139448173823,-0.10141440274365808
5,30.0,35.0,32.5,151,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-0.9934008294290794,0.42031328751039937,-1.3033080524243863,0.4334038487750631,-0.17837361072421734,0.8267423339934347,-0.6431205348159615,0.08151697875707233,0.005117880936818751,0.36018799023372106,0.0037103043895710605,0.38462718417421676,-0.8250274975258943,0.54648637680252,-3.3014601087984863,0.00667918389233863,-0.9656775119804356,-0.5127189782919068,0.14065001445454128,0.3343453675676895
6,35.0,40.0,37.5,151,27.304635761589402,0.46178461766561996,27.304635761589402,0.46178461766561996,0.0,0.0,27.304635761589402,0.46178461766561996,0.0,0.0,-0.4033100328449946,0.5620188645650767,-1.697811436087668,0.6716866303103021,-0.26635934305871434,0.8376956282681058,-0.7502459006526594,0.27856858108379456,0.07509428106266512,0.4082920225585316,-0.07200796963639904,0.3329237339023496,-0.7891602706637922,0.5748395417862876,-3.288869809120852,0.00809813870159374,-1.9778681353349619,-1.6617834780366467,1.1887078646711697,1.3954241349779324
7,40.0,45.0,42.5,151,30.76158940397351,1.738614809828112,24.43046357615894,1.4213136354552875,6.33112582781457,0.5741295359601439,0.695364238410596,0.46178461766561996,30.066225165562916,1.787619922959708,-2.6510957010790728,0.6782820553045991,0.5405608910924983,0.7520474131433449,-0.1956369016002258,1.1176510899557417,2.21543121117979,0.6170910208783523,0.13918073290437297,0.704604761703571,-0.06989878963104615,0.7051537393256023,-0.7687239038622667,0.6141163128003523,-3.5510277675080095,0.013091015950114207,-1.2475085858990083,-1.638331281485932,0.4787846820367415,1.4426943798857064
8,45.0,50.0,47.5,151,32.973509933774835,1.766152201321844,23.304635761589402,1.4188886612812799,9.668874172185431,0.5741295359601439,0.0,0.0,32.973509933774835,1.766152201321844,-0.945681743045019,0.6712881019213871,0.005452467234306172,1.0468395810876985,-0.012286183414245271,1.1097560213120912,0.6467828294294273,0.5771066430347276,-0.09517017951132775,0.6943738256949118,0.026631806584641326,0.6199756501216671,-0.317505153074986,0.7491456686161466,-3.480356433933262,0.013149003822047938,-0.25073244622641233,-1.3583472139160984,-0.06677270684857367,1.346061030501853
9,50.0,55.0,52.5,151,34.59602649006622,0.6945387721072632,26.741721854304636,0.49616631833744884,7.854304635761589,0.3539745940671917,0.0,0.0,34.59602649006622,0.6945387721072632,-1.3034036775994193,0.6881957738543932,1.1705652943954077,0.703962834091595,-0.8065615246192385,1.1468548123320188,1.5669330878838625,0.35257694716331234,-0.02298882635998561,0.7214716864677169,0.08430713108677046,0.6745055590436564,-0.31313330260775013,0.6672309466879898,-3.544582588649588,0.007979704961269169,-1.7908002323715504,-2.5391540393480017,1.4776669297638003,1.732592514728763
10,55.0,60.0,57.5,151,30.370860927152318,0.6793712194839686,24.225165562913908,0.4785002323992968,6.145695364238411,0.3539745940671917,0.0,0.0,30.370860927152318,0.6793712194839686,-1.3026284678993156,0.7262272697014662,0.47457572673989706,0.6762892468345321,0.27979183294170845,0.9183120001491109,1.1528883182173544,0.3905653579293126,-0.081274648601381,0.6521628448813551,-0.009024794043413555,0.680276613627218,-0.18275363607257006,0.555849270205333,-3.5307225662561246,0.0065784464612019785,-0.35197157573051857,-0.36215091426600965,0.1692179396579485,0.6419427472077182
11,60.0,65.0,62.5,151,30.834437086092716,0.9123629656093306,24.503311258278146,0.641603950376767,6.33112582781457,0.4721843468340977,0.0,0.0,30.834437086092716,0.9123629656093306,-1.6402569081724958,0.7332849138535278,0.5472141446675232,0.7809156751455644,0.17471064044714096,1.1247566563991969,1.0118675626972107,0.35664507969150294,0.008544602270641207,0.6407374177741941,-0.03190666425924736,0.6832759807927831,-0.30611070768594384,0.6368949370330839,-3.5310921852876533,0.006792609166798295,0.2917099152503045,1.090805511371794,-0.5978206229362484,-0.916094870924653
12,65.0,70.0,67.5,151,34.145695364238414,0.9047824857822826,26.47682119205298,0.6307079312021027,7.66887417218543,0.4721843468340977,0.0,0.0,34.145695364238414,0.9047824857822826,-1.3278060316475295,0.6129631785625581,1.3428149740313344,0.6557089362823585,-0.7497555520146745,1.0524854397319945,1.5255552679397169,0.36748457937405016,-0.08143511635387002,0.7255886781432206,0.10678368658415148,0.7177899152599725,-0.24491553654362325,0.6216877187022825,-3.54577006524958,0.008525374873605647,-0.5065303222123135,-0.8044133253348813,0.2616147856686903,0.054657773320206826
13,70.0,75.0,72.5,151,33.52980132450331,0.9578305140254376,23.86092715231788,0.8168209522234172,9.668874172185431,0.5381679329556994,0.0,0.0,33.52980132450331,0.9578305140254376,-1.1012966119948846,0.677836976863479,0.04254526954739623,0.983421783317083,-0.13742930634772776,1.202714806303085,0.7381730551517502,0.6043468800055058,-0.050554799003642605,0.7470818832228495,0.09287079027705113,0.6350006583759792,-0.3987268829317387,0.7283564100690704,-3.4824673358414135,0.011903507057778418,-1.2718836314017645,-0.5883584409749342,0.8731567484700258,0.4509291346272064
