id,type,phase,x_A,y_A,z_A,pe_atom_eV,sxx_bar_A3,syy_bar_A3,szz_bar_A3,sxy_bar_A3,sxz_bar_A3,syz_bar_A3,hydrostatic_raw_bar_A3,displacement_A,dx_A,dy_A,dz_A,neighbor_count,strain_trace,von_mises_strain_proxy,d2min_A2
1,1,Al_slab,4.2630245818968096,6.18978376814651,5.622370313897476,-2.9905,1284750.0,1266570.0,257894.0,208928.0,21764.7,60337.6,-936404.6666666666,0.7157620540245936,0.07712196167890449,-0.09323919039611628,-0.7054601153733495,9,0.027737392352232937,0.07178384347742982,0.04412319721271107
2,1,Al_slab,6.043521562172639,6.401710832016934,8.208265662223301,-3.28751,627145.0,453183.0,-4670.96,-16629.6,-17010.4,-179858.0,-358552.3466666667,0.6444336296360544,0.2088420841960285,-0.20619045689717463,-0.5737291890422629,12,0.025893271575552435,0.0100688337340009,0.03912165581574525
3,1,Al_slab,4.224911005799955,6.239470424267299,12.93423407790494,-3.32383,-75928.2,-292808.0,-804889.0,-84293.5,-284092.0,54642.2,391208.39999999997,0.4913043047717254,0.024445957794405615,-0.03501674951893374,-0.48944472853210996,12,-0.0339358485024448,0.03355704782757305,0.010464280894747281
4,1,Al_slab,5.101117501812904,0.4490557395472496,5.812429888226757,-3.04316,1152420.0,1586440.0,-135921.0,185295.0,-4804.92,-301855.0,-867646.3333333334,0.5292673602666813,-0.029849258410892275,-0.11659107780360418,-0.5154022516370826,9,-0.04057865474288869,0.0450452305201922,0.024894770365046767
5,1,Al_slab,3.6506867040567017,0.14982048233448905,10.44689589316351,-3.30808,142209.0,547750.0,514224.0,13324.4,-271267.0,-118442.0,-401394.3333333333,0.6921063803933949,0.1638349868018669,-0.10048349823589395,-0.6648852573663788,12,0.02737153821787297,0.055670996141710956,0.04719641886399186
6,1,Al_slab,5.72494765762938,6.557741890294779,15.149694266485698,-3.30217,-444623.0,82024.1,-370192.0,94940.0,707.627,-111479.0,244263.63333333333,0.5997336292838498,-0.13789164118765915,-0.018764175214823986,-0.583364574784122,12,-0.015369175908788835,0.015566666432347432,0.04351315751084478
7,1,Al_slab,4.0716793793039265,6.162441866573329,19.906107156594988,-3.32837,-8630.86,-17928.5,-543911.0,-12275.1,-377232.0,-153338.0,190156.78666666665,0.48325230781361045,-0.17911742532632058,-0.05237161760700194,-0.4457655825889617,12,-0.02286572847756818,0.02656810788538077,0.011912128246344925
8,1,Al_slab,11.878035039344724,6.201525622709941,5.636291529967894,-2.90308,2097290.0,2095840.0,427656.0,-122581.0,-29975.0,-353764.0,-1540262.0,0.6971866668895926,0.03450042261090757,-0.08150253787888496,-0.6915463148969775,9,0.07618858515521887,0.04271898140224299,0.0235871371898783
9,1,Al_slab,6.818418875694699,0.7562516570564808,8.226986461220909,-3.28226,747155.0,714183.0,925669.0,130967.0,65704.8,-90002.8,-795669.0,0.572314836257047,0.03867283328296178,-0.13426607460780882,-0.5549966711388539,12,0.0564539881839079,0.03002188918724325,0.025347695446073654
10,1,Al_slab,5.05185407757639,0.6033857428840989,12.872747254915737,-3.3152,-165645.0,507573.0,285303.0,-137606.0,-176403.0,-58083.8,-209077.0,0.5607193107951279,-0.0936557340382409,0.04627809423431106,-0.5509020665911154,12,0.01567583179344545,0.053660309915250524,0.03292292651693667
11,1,Al_slab,3.319908469115689,0.17028896070478633,17.675673297661383,-3.31464,-97074.2,586091.0,-76699.3,311248.0,467810.0,-276631.0,-137439.16666666666,0.422048150474085,-0.20643498118594603,-0.033576688577975716,-0.36658129500220227,12,0.017975756497243034,0.034297930595435185,0.0305298131575211
12,1,Al_slab,5.738112280632459,6.385847856859964,22.005190870162807,-3.29942,218421.0,795678.0,-188448.0,-115064.0,-29720.0,98942.1,-275217.0,0.6925484199688542,-0.18475976911688452,-0.11904619232036408,-0.6567458761280918,12,0.016730499011036848,0.036128762310869963,0.03819998234328142
13,1,Al_slab,4.157866669120527,5.806897336099163,26.79183236089421,-3.27576,-384392.0,-346404.0,-62025.1,217917.0,117971.0,94991.3,264273.7,0.6101901291328001,-0.1667918954108698,-0.3184006914176498,-0.493085648768158,12,-0.009754135956489551,0.02300181421820941,0.04688297869458916
14,1,Al_slab,10.110916851281473,1.5033543691786357,5.607690546837509,-2.88306,2266940.0,2033180.0,405910.0,-168964.0,169257.0,121813.0,-1568676.6666666667,0.7210340490355981,0.03237607383211305,-0.015191512503485827,-0.7201465876193147,9,0.09988559415966969,0.07311494093229536,0.05057262076052568
15,1,Al_slab,13.571021790891246,6.551792481511271,8.053096631118564,-3.27318,211544.0,530164.0,721287.0,-110000.0,-135239.0,-214071.0,-487665.0,0.7352670992876755,0.07871609782166188,-0.05610737260779253,-0.7288850704862142,12,0.02742776815760506,0.027580575080756585,0.0824500102576745
16,1,Al_slab,8.538447364838241,1.1120576186851063,10.782520879360947,-3.26929,585477.0,706054.0,235719.0,220682.0,171144.0,1578.83,-509083.3333333333,0.3571398371657818,0.10402157210745955,-0.09116612067820129,-0.3292675420802684,12,0.0388661709130369,0.02750876745367571,0.06460118152005473
17,1,Al_slab,11.791712366988243,6.121755325951209,12.912745737984384,-3.3254,451389.0,-25600.1,-621536.0,-224202.0,-32010.3,150587.0,65249.033333333326,0.5373662835878568,-0.06636363465166185,-0.15274880522273904,-0.510907225664182,12,-0.004707515239087523,0.04547238248722044,0.019370823635732875
